Feature.ID	WT.1.norm	WT.2.norm	WT.3.norm	GeneA.KO.1.norm	GeneA.KO.2.norm	GeneA.KO.3.norm	GeneB.KO.1.norm	GeneB.KO.2.norm	GeneB.KO.3.norm
ENSG00000062716	2484.2081	2557.0893	2484.332	2545.3609	2523.0753	2304.7032	2508.4565	2488.536	2338.1155
ENSG00000267637	1.0915	0.9367	0.9256	0.9331	0	1.108	1.0409	0	0.887
ENSG00000284190	0	0	0	0	0	0	0	0	0
ENSG00000201524	0	0	0	0	0	0	0	0	0
ENSG00000108423	180.0942	207.9391	237.8813	141.8236	119.9035	201.6615	150.9237	131.9401	219.9744
ENSG00000270264	0	0.9367	1.8512	0.9331	0	0	0	0	0
ENSG00000108443	1738.7274	1508.0271	1552.2447	1760.6657	1852.9764	1747.3639	1727.8165	1692.009	1626.7465
ENSG00000241913	0	0	0	0	0	0	0	0	0.887
ENSG00000267318	0	0	0	0	0	0	0	0	0
ENSG00000189050	142.9839	156.4227	133.2876	139.0245	121.6042	119.6673	115.5347	119.7234	116.1962
ENSG00000267104	0	0	0	0	0	0	0	0	0
ENSG00000267302	0	0	0	0	0	0	0	0	0
ENSG00000266992	0	0	0	0	0	0	0	0	0
ENSG00000238283	0	0	0	0	0	0	0	0	0
ENSG00000275860	0	0	0	0	0	0	0	0	0
ENSG00000274378	0	0	0	0	0	0	0	0	0
ENSG00000264049	0	3.7467	0.9256	4.6653	3.4015	7.7562	5.2043	7.33	5.322
ENSG00000068097	1095.8458	1081.8455	1001.5079	1344.5253	1365.7091	1244.3181	1284.413	1552.739	1309.2028
ENSG00000267526	0	0.9367	0	0	0	1.108	0	1.2217	1.774
ENSG00000267416	6.5489	5.62	16.6609	2.7992	5.1023	9.9723	9.3677	3.665	8.8699
ENSG00000261040	543.557	672.5239	779.362	794.0257	569.7541	836.5629	842.0503	807.522	671.4543
ENSG00000280852	32.7444	27.1632	18.5122	16.7949	25.5114	18.8365	19.7762	19.5467	13.3049
ENSG00000267295	0	0	0	0	0	0	0	0	0
