Name	GTEX-1117F-0226-SM-5GZZ7	GTEX-111CU-1826-SM-5GZYN	GTEX-111FC-0226-SM-5N9B8	GTEX-111VG-2326-SM-5N9BK	GTEX-111YS-2426-SM-5GZZQ	GTEX-1122O-2026-SM-5NQ91	GTEX-1128S-2126-SM-5H12U	GTEX-113IC-0226-SM-5HL5C	GTEX-117YX-2226-SM-5EGJJ	GTEX-11DXW-0326-SM-5H11W	GTEX-11DXX-2326-SM-5Q5A2	GTEX-11DZ1-0226-SM-5A5KF	GTEX-11EI6-0226-SM-5EQ64	GTEX-11EM3-2326-SM-5H12B	GTEX-11EMC-2826-SM-5PNY6	GTEX-11EQ8-0226-SM-5EQ5G	GTEX-11EQ9-2526-SM-5HL66	GTEX-11GS4-2626-SM-5A5LD	GTEX-11GSO-2326-SM-5A5LX
ENSG00000229344.1	147	193	198	127	288	226	147	120	373	209	349	243	224	280	226	214	231	725	233
ENSG00000240409.1	59	78	55	40	113	98	66	98	183	56	102	82	97	150	28	74	134	95	64
ENSG00000248527.1	14637	34570	54157	38807	63839	67657	35228	44141	69320	46231	49621	52396	45473	85955	51356	30839	66269	49040	38445
ENSG00000198744.5	222	234	218	268	330	618	183	197	396	235	216	228	241	280	247	220	244	376	271
ENSG00000268663.1	1	1	0	2	1	0	0	1	0	0	0	1	1	2	0	1	0	2	1
ENSG00000185097.2	1	3	1	1	0	0	1	0	1	1	2	1	1	0	1	4	2	1	1
ENSG00000229376.3	3	12	6	4	2	4	10	11	17	6	15	8	8	12	10	11	5	8	3
ENSG00000224956.5	399	156	168	243	161	213	162	177	162	173	90	165	187	145	383	143	176	224	248
ENSG00000235373.1	25	12	22	13	19	24	5	11	11	13	8	7	16	25	30	26	16	25	13
ENSG00000223181.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240618.1	10	2	2	1	2	8	8	7	7	3	3	1	1	0	13	9	1	1	0
ENSG00000229905.1	0	0	1	1	1	1	0	0	4	0	2	0	1	2	0	2	0	2	0
ENSG00000228327.2	143	61	81	101	104	60	71	81	95	73	88	28	62	124	252	72	60	100	99
ENSG00000237491.4	80	56	126	177	63	87	44	66	49	118	34	50	77	66	160	129	81	98	85
ENSG00000230092.3	27	18	20	17	14	18	9	17	15	13	8	4	13	9	28	10	12	12	19
ENSG00000269831.1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000240453.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177757.1	76	83	110	72	28	67	40	130	125	52	38	39	69	52	122	52	69	67	95
ENSG00000225880.4	195	160	217	321	157	170	81	108	133	228	119	64	165	238	253	220	78	137	123
ENSG00000228794.4	875	1803	1376	1291	1077	1783	1667	1076	1405	1586	1652	1181	1493	1373	2439	1259	3104	1187	1737
