transcript_id	gene_id	transcript_biotype	gene_name
ENSRNOT00000114822	ENSRNOG00000005614	protein_coding	Txn2
ENSRNOT00000078528	ENSRNOG00000005614	protein_coding	Txn2
ENSRNOT00000006249	ENSRNOG00000004682	protein_coding	Parpbp
ENSRNOT00000006174	ENSRNOG00000004682	protein_coding	Parpbp
ENSRNOT00000065899	ENSRNOG00000004682	protein_coding	Parpbp
ENSRNOT00000096979	ENSRNOG00000004682	protein_coding	Parpbp
ENSRNOT00000035382	ENSRNOG00000006946	protein_coding	Arhgap9
ENSRNOT00000057833	ENSRNOG00000006946	protein_coding	Arhgap9
ENSRNOT00000049221	ENSRNOG00000032429	protein_coding	Tmprss9
ENSRNOT00000013428	ENSRNOG00000009756	protein_coding	Pacsin2
ENSRNOT00000088125	ENSRNOG00000009756	protein_coding	Pacsin2
ENSRNOT00000111896	ENSRNOG00000009756	protein_coding	Pacsin2
ENSRNOT00000067913	ENSRNOG00000009756	protein_coding	Pacsin2
ENSRNOT00000013398	ENSRNOG00000009756	protein_coding	Pacsin2
ENSRNOT00000042254	ENSRNOG00000037025	protein_coding	Smgc
ENSRNOT00000111436	ENSRNOG00000037025	protein_coding	Smgc
ENSRNOT00000119061	ENSRNOG00000037025	protein_coding	Smgc
ENSRNOT00000104399	ENSRNOG00000037025	protein_coding	Smgc
ENSRNOT00000009803	ENSRNOG00000025120	protein_coding	Gli1
ENSRNOT00000095213	ENSRNOG00000066777	protein_coding	Pmch
ENSRNOT00000016827	ENSRNOG00000012295	protein_coding	Pla2g6
ENSRNOT00000017108	ENSRNOG00000012295	protein_coding	Pla2g6
ENSRNOT00000087344	ENSRNOG00000012295	protein_coding	Pla2g6
ENSRNOT00000027045	ENSRNOG00000019924	protein_coding	Thop1
ENSRNOT00000082486	ENSRNOG00000019924	protein_coding	Thop1
ENSRNOT00000106015	ENSRNOG00000022975	protein_coding	Nfam1
ENSRNOT00000037681	ENSRNOG00000022975	protein_coding	Nfam1
ENSRNOT00000065137	ENSRNOG00000042460	protein_coding	Hmga2
ENSRNOT00000103543	ENSRNOG00000042460	protein_coding	Hmga2
ENSRNOT00000120053	ENSRNOG00000042460	protein_coding	Hmga2
ENSRNOT00000006760	ENSRNOG00000004727	protein_coding	Nup37
ENSRNOT00000079168	ENSRNOG00000004727	protein_coding	Nup37
ENSRNOT00000089161	ENSRNOG00000004727	protein_coding	Nup37
ENSRNOT00000110049	ENSRNOG00000004727	protein_coding	Nup37
ENSRNOT00000097144	ENSRNOG00000004839	protein_coding	B4galnt1
ENSRNOT00000046099	ENSRNOG00000004839	protein_coding	B4galnt1
ENSRNOT00000104089	ENSRNOG00000004839	protein_coding	B4galnt1
ENSRNOT00000071423	ENSRNOG00000050884	protein_coding	AABR07058745.1
ENSRNOT00000068020	ENSRNOG00000008064	protein_coding	Naga
ENSRNOT00000097900	ENSRNOG00000008064	protein_coding	Naga
ENSRNOT00000107846	ENSRNOG00000008064	protein_coding	Naga
ENSRNOT00000089407	ENSRNOG00000016896	protein_coding	Rpl3
ENSRNOT00000067032	ENSRNOG00000016896	protein_coding	Rpl3
ENSRNOT00000092252	ENSRNOG00000016896	protein_coding	Rpl3
ENSRNOT00000027272	ENSRNOG00000020005	protein_coding	Map2k2
ENSRNOT00000107951	ENSRNOG00000020005	protein_coding	Map2k2
ENSRNOT00000102006	ENSRNOG00000020005	protein_coding	Map2k2
ENSRNOT00000096038	ENSRNOG00000020005	protein_coding	Map2k2
ENSRNOT00000102029	ENSRNOG00000020005	protein_coding	Map2k2
ENSRNOT00000005686	ENSRNOG00000004226	protein_coding	Irak3
ENSRNOT00000082429	ENSRNOG00000054420	protein_coding	Vdr
ENSRNOT00000113632	ENSRNOG00000029465	protein_coding	Slc26a10
ENSRNOT00000052288	ENSRNOG00000029465	protein_coding	Slc26a10
ENSRNOT00000107294	ENSRNOG00000005102	protein_coding	Washc3
ENSRNOT00000006903	ENSRNOG00000005102	protein_coding	Washc3
ENSRNOT00000100629	ENSRNOG00000005102	protein_coding	Washc3
ENSRNOT00000026871	ENSRNOG00000019822	protein_coding	Gadd45b
ENSRNOT00000023066	ENSRNOG00000017108	protein_coding	Syngr1
ENSRNOT00000092260	ENSRNOG00000017108	protein_coding	Syngr1
