PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73
Group.F.15	-49.4746	5.43154	-7.87634	-10.627	-2.66706	2.9758	4.87443	-1.77821	7.17186	-3.90065	-3.09766	2.7012	-1.97054	-5.62809	-3.84944	7.89436	2.53275	-5.28025	-1.67655	13.8412	2.76481	6.08514	-7.72602	-1.54042	1.5685	-0.403454	3.96182	-6.45582	-0.107357	-1.43269	-1.65635	-0.294783	-3.46643	-2.30253	1.26491	-1.39321	-2.28507	-1.9286	-1.50225	1.74646	2.6911	1.46213	3.18879	-2.11849	-1.26641	-0.44184	-0.786026	0.0955031	0.62592	0.230663	-0.53001	-1.06192	0.348742	0.463453	-1.13359	-0.394248	0.246132	0.0434603	0.453065	-0.302548	0.198877	0.357979	0.152504	0.427828	0.215664	-0.387821	-0.396041	0.0408314	0.297387	0.0051219	0.123929	0.0711695	9.77E-15
Group.F.16	-20.3169	3.92351	11.827	7.788	7.9487	0.575803	-2.37901	3.2176	-4.23182	2.59867	8.46023	-2.39873	-6.56335	-0.980878	3.04737	-6.65483	-12.026	2.60985	3.29991	3.35286	2.12697	3.65404	0.746437	3.09204	10.1107	4.52259	-7.65544	-0.367186	4.33473	1.60823	-1.65466	-3.28511	-1.65321	-5.1282	0.99355	-0.105367	1.89553	-2.84938	-2.23677	0.398252	-2.01507	-0.446154	1.38272	1.46037	-0.023109	0.367027	-0.141657	-0.601843	0.611893	0.734428	-0.813577	0.641915	-0.197143	0.0279243	0.477738	0.471307	0.415172	0.336789	0.743845	-0.582423	0.267515	-0.0763921	-0.134827	0.0504908	-0.0658237	-0.119882	-0.176343	-0.177674	0.104191	0.0900506	-0.269382	0.0310498	6.81E-15
Group.F.17	-57.9456	6.14538	-8.32768	0.791196	-1.08543	11.5253	-2.12613	5.72743	-1.2606	8.33362	-2.10046	-7.02691	3.85705	-2.2707	-8.47577	-4.28886	3.07324	-2.0572	-6.45145	3.53049	-0.630409	-4.55655	3.84226	-3.37893	-0.519765	0.35997	-0.648269	3.25797	3.63309	0.261401	3.43875	-3.01988	4.27349	-0.730416	-6.25466	0.626512	-1.54008	-3.14428	-1.91664	-3.96676	3.68222	-0.751887	1.43144	-0.303531	-2.26911	-1.36533	-0.330905	-1.83902	-0.0313729	-0.0916466	-1.78063	1.99513	-0.468233	0.344803	-0.263267	0.355674	-0.630052	0.626704	-0.11391	-0.156626	-0.251566	0.411754	-0.378153	-0.132132	0.461276	-0.0473544	-0.493773	-0.294318	-0.294805	-0.130277	0.00513813	-0.194265	1.78E-15
Group.F.18	-47.8589	8.36768	-3.76071	-4.99998	6.58355	-3.95526	-4.22368	4.00786	-1.01673	-0.286502	1.63385	6.5202	0.552245	-1.61316	-3.29929	3.65087	2.90534	-0.290848	6.26902	-1.99535	-0.302234	3.52502	0.873581	-3.09285	-0.657411	2.14813	-2.42007	3.51642	2.33319	-1.27964	-3.94717	-1.47779	-3.17808	0.165756	-7.95118	2.14514	-0.302011	0.766108	5.1417	2.73354	-0.305631	1.6529	1.64604	1.59308	0.982971	-1.90099	2.24952	-2.41832	0.825901	-1.8238	2.81422	-1.48005	1.22468	-0.926716	-0.141697	0.233854	0.404547	-0.246609	-0.131546	0.151605	-0.467417	0.546777	0.00438679	0.6709	-0.0348381	-0.659196	0.103464	0.43705	-0.159208	0.116243	-0.178787	0.096388	7.77E-15
Group.F.19	-26.412	-1.63836	29.2242	14.8848	-3.35234	2.13655	-8.38622	9.91306	2.199	0.180801	8.6169	10.4503	-5.73242	5.75328	-2.22734	-0.231705	-6.0773	-3.83348	0.939311	2.44072	-4.71531	-1.59762	-1.24701	2.32508	-4.53118	-6.31552	0.876318	0.0345153	3.20426	-1.28924	-1.50935	-0.827309	1.0093	-2.4152	1.90938	1.82746	3.25623	-1.1579	2.91093	-4.14328	2.60953	2.99792	-3.18429	-2.72675	0.3739	-0.241427	-2.2332	0.0146097	0.115226	0.52887	2.1322	-0.396837	-0.428704	-0.988838	-0.949804	0.173162	-0.0532129	-0.331884	-0.463369	-0.832541	0.132705	0.19999	0.606139	0.627681	-0.012129	-0.194854	-0.226059	-0.0137426	0.108007	0.187368	-0.0147585	0.123754	6.88E-15
Group.F.20	-28.2795	-1.9961	26.4611	18.175	-2.40354	3.2954	-10.3964	11.2739	1.72868	-3.22543	6.66892	11.3322	-2.99925	5.11255	1.20486	-0.253613	0.528709	-7.49674	0.0922126	1.73623	1.2659	-4.52986	-3.52575	0.0167557	-5.08933	-6.87491	-0.442842	2.65383	-2.62344	3.00834	-0.890535	0.790541	-1.07743	0.710795	-1.28838	-2.33877	0.0389352	1.37318	-4.2058	3.19321	-2.75203	-1.72582	3.41439	2.21259	-1.24047	1.0315	2.54499	-1.3062	-0.362719	0.638712	-1.82899	1.39	0.558618	0.848213	0.259862	-0.208003	-0.242442	0.43477	0.223694	0.470895	-0.304497	0.41397	-0.645652	-0.258002	-0.11363	0.147797	-0.103104	-0.112132	-0.13374	0.201225	0.0012782	0.0828769	4.88E-15
Group.F.21	-34.3953	3.65536	18.9848	9.22237	-10.9019	-1.32708	3.45881	7.69317	3.48575	-0.0692876	-0.365238	-3.58258	-9.83626	11.9652	-0.764516	-7.64107	-2.83471	6.54685	-13.8166	2.60209	3.36267	-6.41708	-1.52146	-2.83474	3.96798	3.60819	1.99885	1.12476	-0.263025	-3.18852	-1.30146	-0.753006	-2.76347	2.84131	0.192861	-0.565217	-3.89418	1.51952	2.44347	2.95164	0.287846	-2.25941	-0.99161	-1.14304	-0.322989	-0.547981	0.686231	1.06634	-0.680999	-0.0660751	1.99701	-0.915115	-0.803179	-0.358383	-0.441768	0.446778	0.230841	-0.200951	-0.193875	-0.207248	0.0221894	-0.171924	-0.157651	0.178557	-0.12023	-0.114035	-0.107595	-0.0351146	0.154033	0.0934446	0.0603565	0.0387596	1.48E-14
Group.F.22	-22.0991	-7.20344	8.85843	-6.30208	-9.60407	-13.3759	11.8772	-7.78139	3.38622	-13.3893	-0.645604	-2.32245	1.81557	10.7233	0.080544	19.0009	-5.15388	-3.95637	-0.349475	5.77191	-6.7583	-1.42461	4.43632	3.39666	1.09834	3.65448	-6.01531	2.91031	-4.65747	3.15771	-0.787336	-1.32171	2.3281	2.23033	-0.330404	-1.27281	-1.05655	-0.835294	1.65718	-1.08153	-0.0613642	-1.444	-0.950225	-0.566161	-0.28776	-0.527293	0.0346919	-0.780305	0.102853	0.220046	-0.585128	0.579238	-0.0187821	0.399678	-0.193224	0.0370713	0.297414	0.516723	0.122432	-0.311012	-0.21528	0.276111	0.142497	0.336167	0.0258769	0.203546	-0.252264	0.0262611	-0.0852383	0.178523	-0.0201758	-0.0463716	5.88E-15
Group.F.23	-59.5229	13.2581	-5.1643	-5.46922	-8.51915	12.5275	-4.37922	6.07434	-1.81497	14.9865	-1.48478	-3.27554	12.9122	-8.29083	-2.89175	-1.64684	1.1582	-4.6099	-6.23008	0.272666	1.25853	3.30907	-0.0195109	2.77838	-3.11533	0.635052	-3.04797	3.6335	-0.928502	6.8158	-0.613116	-4.32285	2.31565	-1.84623	5.06769	-0.741898	-1.60471	3.46105	3.68195	1.86106	-2.11951	0.626125	0.108778	-0.831349	-0.576157	0.510026	0.248728	1.06291	-0.436243	1.23804	1.43061	-1.3601	-0.505179	0.616268	-0.144277	-0.427538	0.526907	-0.66961	-0.0141619	-0.75604	-0.140374	-0.207797	-0.0584019	0.445597	-0.332976	-0.0141753	0.0438804	0.021149	-0.175082	0.13031	-0.190878	0.0606507	6.44E-15
Group.F.24	-40.895	-5.62857	-1.18564	-1.88983	-7.12921	3.20187	3.47226	2.8494	-7.40249	8.35396	5.26369	-12.8107	15.4714	-3.94848	-0.629377	9.67556	-13.1919	-3.47119	-4.85061	-4.63527	-0.346876	-4.7045	-0.836446	-2.34235	4.24138	-5.24335	0.751641	-5.81253	1.55608	-1.42451	-1.48198	3.31855	-3.58565	2.69511	-2.01321	1.68967	2.11478	1.76112	-1.13378	-0.0282788	-0.519579	1.64837	-0.417771	1.21987	0.504795	0.714318	0.66285	0.551793	-0.446922	0.641799	0.636593	0.598102	0.678831	0.160668	-0.0510423	0.317174	-0.563519	0.156656	-0.120871	0.207342	-0.129401	0.34024	-0.167298	0.123718	0.200483	-0.091031	-0.429998	0.118934	-0.0179052	0.0841904	0.0190955	0.13655	3.44E-15
