PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73
Group.C.3	-32.1712	-20.1869	-9.34874	12.4165	0.571933	7.18682	-2.12096	-6.57845	15.7677	3.96199	-3.50665	2.43029	4.71233	-0.524924	0.855172	-0.961851	-0.0820981	-1.15693	2.01602	0.987023	2.17856	-0.886833	0.0216054	1.90637	0.879801	-2.4829	-0.386643	0.814917	-1.03627	-0.711153	-0.424966	1.00624	-1.57591	0.851279	0.824181	1.68092	1.19504	1.16825	1.26739	-0.673411	4.30034	-4.00643	-0.123666	5.42155	3.38365	-2.03531	-0.146454	0.680098	2.14299	-0.490144	-1.05947	-1.61091	-3.36066	1.28923	0.350319	-0.927271	0.244702	0.599646	1.15037	-2.20654	0.250676	-0.561686	-0.152429	-0.0598889	-0.496438	-0.101285	0.0520433	-0.544874	0.801489	-0.242248	-0.719244	-0.156635	3.22E-15
Group.C.4	-29.7643	-23.0035	-7.99036	11.7017	-0.812522	4.73254	-1.97008	-7.78807	13.9382	4.5877	-2.73815	0.403155	4.07253	0.996361	2.12295	0.00529372	-1.64168	1.89094	5.32781	-1.00361	-0.0767961	-0.146689	-0.24567	-0.894241	2.12851	-0.26971	1.74562	-1.21124	-0.206524	2.75957	0.452447	0.848146	1.70683	2.16704	-0.107928	2.03131	2.33394	-1.35899	0.176064	3.34033	0.628349	-1.24136	-0.717886	-1.70474	-6.33312	0.804874	-0.777497	-1.63042	-0.325229	0.70268	-0.584269	-0.990414	-1.79552	-3.71644	0.795556	2.16497	1.11633	-1.92887	-0.445243	0.866549	-0.733907	-0.0930432	-0.749906	0.346784	-0.34775	-0.308839	1.31956	0.142436	0.566393	-0.0562611	0.0280642	0.0441228	4.66E-15
Group.C.5	-29.0549	-22.2022	-7.22199	11.7418	1.0994	8.16123	-2.787	-4.81745	15.8467	1.97277	-3.61355	0.662472	0.505482	-0.570994	-1.04732	0.0467284	-0.35975	1.77296	1.65305	0.308331	0.0945517	1.07442	1.56126	-0.1193	0.577344	0.23914	-0.441539	1.14306	1.71315	0.702264	-0.578733	-0.612814	-0.517493	0.236597	0.520692	1.53789	1.71165	-1.60283	3.08092	1.79615	2.73941	-2.37773	0.734988	-1.85796	0.868606	5.13987	0.103281	1.93471	-0.899962	-1.71358	1.41539	3.38073	3.81153	2.34732	0.576756	-0.867902	-1.03312	0.32335	0.398176	1.40653	0.962038	-0.537946	0.244544	-1.31898	0.0108996	0.539261	-0.157724	0.415702	-0.376955	0.51345	0.778538	-0.02377	7.88E-15
Group.C.6	-21.1474	-31.6595	1.79511	11.3159	-4.06218	-3.94824	5.53852	-6.55078	12.475	0.0470057	-0.234648	-1.90678	1.21764	4.02741	5.41977	3.78498	-1.09458	2.19221	-1.14341	-0.994881	1.2443	1.20457	-0.127086	-0.32202	-5.23729	2.98689	0.223697	-0.144129	7.14156	1.42047	2.0798	5.63669	-0.177089	-7.74716	-3.81706	-1.75038	-4.84157	4.55121	-0.891201	-1.01609	-2.02901	1.63005	-1.40744	-0.33818	-0.0110841	0.922476	-0.545965	0.250645	-0.0706521	0.254162	-0.479678	-0.614197	-0.295513	-0.0255772	0.602236	-0.360036	0.481825	-0.102367	0.424226	-0.201436	0.452201	0.0303273	0.0385966	-0.580576	0.063562	0.332484	0.0742483	-0.3132	0.0533279	-0.271022	-0.0377185	-0.0803366	7.97E-15
Group.D.1	-61.5268	15.1139	-20.8147	2.84934	5.33635	-0.201139	-3.79325	-5.34673	-10.2467	-7.80426	4.60411	0.773311	-2.1968	2.71905	0.916049	1.76558	0.594987	-0.911844	0.647357	-2.35019	-0.96618	-0.167159	-0.794948	-0.159594	0.0250642	0.0554648	1.15421	0.170317	0.248058	-0.492529	-2.54807	1.50373	2.25425	-1.7356	-0.96444	0.156782	-0.31582	0.375124	2.16552	1.06792	-1.74076	-0.683619	1.73623	2.41124	-2.1435	-1.28359	-3.20179	4.14075	0.732084	-0.486661	-1.20549	1.94675	-0.930725	-0.55742	-3.17894	0.107525	-2.61278	-0.613736	-2.01249	0.0390358	1.06923	-3.17512	-0.574873	0.160786	-0.357236	-0.468442	0.0572883	0.110353	-0.377994	-0.0501364	0.237459	-0.0123926	-2.66E-15
Group.D.2	-61.0208	13.8525	-17.3669	5.12046	5.22664	1.3265	-4.63096	-5.72624	-13.6878	-5.29919	5.93506	-3.39795	-4.78995	3.39008	-2.07357	2.17868	-0.545523	-3.43515	1.19351	0.288978	-1.66517	-1.42361	-3.94664	-1.71593	-0.594365	3.64961	3.95884	0.0952242	6.49487	1.75073	-5.22099	-0.105809	6.21536	3.72799	2.98206	-0.282732	-0.708753	1.19246	-1.85327	-0.714539	1.64576	0.55965	1.1884	0.606826	2.65124	1.33685	1.46791	0.0723873	-0.607034	-1.69507	-0.497174	-1.22408	-0.8116	-0.486794	2.41809	0.117117	1.29241	-0.103543	0.619916	1.26261	-0.214301	-0.0553303	1.31668	-0.793743	-0.1029	0.554044	1.09935	-0.199281	0.4721	-0.121831	-0.0888446	-0.0582706	2.66E-15
Group.D.3	-59.4225	11.8231	-17.576	5.59906	4.78871	4.74739	-4.34307	-3.47829	-8.33765	-5.39331	1.66033	-0.768619	-1.13846	1.08334	2.53278	-1.43596	1.07164	1.59839	-2.91323	-0.312039	-0.130178	0.243224	2.44736	2.14541	-1.16166	-2.46783	-1.8107	-0.550171	-2.05778	-1.04287	3.55812	0.344683	-3.20857	-1.67055	-1.11603	-1.11482	0.73262	-0.527651	0.658157	-1.18512	0.931312	-0.814003	-1.02397	0.258019	-0.0999025	0.394837	-0.865375	1.11875	-0.357431	0.839902	-0.514704	-1.35323	0.29647	-0.276897	0.0226825	-2.07685	2.93502	1.24436	2.57472	4.17903	-2.64628	-1.50906	0.341872	2.06494	-0.356316	-0.511514	0.28364	0.47962	-0.345668	0.3247	0.248338	0.138323	-1.11E-15
Group.D.4	-58.0434	11.9129	-18.2351	4.2924	4.58501	4.18549	-5.4405	-5.10027	-8.78978	-5.41716	2.90572	-1.22991	-0.915691	1.89689	2.19018	-0.597292	0.875476	1.15801	-2.19301	0.101829	-0.547448	1.41245	0.133509	2.87763	0.971785	-1.2465	-2.03529	-0.768248	-3.55864	-0.955374	2.47436	0.259509	-1.79511	-1.2376	-0.582191	-0.642065	1.12106	-0.022598	-0.265597	-0.518454	-0.12271	-0.0280123	-0.844825	0.0141357	-1.84907	-0.043386	-0.423358	-1.21988	-0.519928	-1.18614	2.05786	-1.62512	-2.18928	0.830451	-0.647161	-1.99838	-2.39891	-1.25042	0.270127	0.686278	1.12662	3.55704	0.36726	-3.50879	-0.253698	0.715084	1.54022	0.505769	-0.470037	-0.544911	0.194196	0.210498	1.55E-15
Group.D.5	-55.5726	10.1865	-15.6566	4.60017	5.9146	4.0276	-4.58066	-5.42702	-7.23236	-5.2497	1.50775	-1.79116	-1.26234	0.199258	1.90422	0.172311	2.63205	2.34452	-3.60238	0.66197	0.0600488	2.17367	-0.284539	2.13543	-0.650241	-1.84116	-1.48313	-1.02276	-3.63862	-0.642917	2.73873	-0.0199929	-3.23586	-2.01975	0.193378	-0.0480025	-0.562151	0.758931	0.039196	-0.256653	1.47588	-0.0936766	-0.538091	-1.38608	2.42638	1.50531	1.82208	-1.67906	1.782	-0.342846	-0.570134	1.47079	0.665104	-1.78676	3.12007	2.05091	-1.16746	-1.68191	-3.38111	-1.01591	-0.37515	-0.687306	0.385538	1.58181	-1.20344	2.27859	-0.79829	-1.08215	0.136609	-0.512714	-0.12673	-0.214786	7.99E-15
Group.D.6	-58.7381	12.6144	-17.2765	2.86636	5.24091	1.97097	-6.08453	-3.27185	-8.89947	-6.39296	1.82548	-0.392253	0.0140633	1.70856	0.0397964	-1.22587	1.316	0.260771	-0.759158	-2.75375	-1.7862	-0.460936	1.05786	0.610173	-1.37619	-1.66258	0.586604	-0.420828	-2.36067	-0.439769	2.02695	0.457922	-0.900547	0.221607	-0.415995	0.0151469	-0.796689	-1.7057	0.698281	0.568746	-0.540671	0.191815	-1.49969	-1.8371	0.547712	0.204886	0.276565	0.393041	-0.318931	0.982424	-1.43358	-0.918068	3.14299	-0.368199	0.862797	1.93673	2.54435	0.853899	1.85691	-3.25228	2.63244	-0.667345	-1.83747	-1.89407	1.30855	-2.01603	0.342989	0.36145	1.04265	0.0870193	-0.564481	-0.166772	5.77E-15
