A	Coef.REF - HET	Coef.REF - KO	Coef.REF - WT	Coef.HET - REF	Coef.HET - KO	Coef.HET - WT	Coef.KO - REF	Coef.KO - HET	Coef.KO - WT	Coef.WT - REF	Coef.WT - HET	Coef.WT - KO	t.REF - HET	t.REF - KO	t.REF - WT	t.HET - REF	t.HET - KO	t.HET - WT	t.KO - REF	t.KO - HET	t.KO - WT	t.WT - REF	t.WT - HET	t.WT - KO	p.value.REF - HET	p.value.REF - KO	p.value.REF - WT	p.value.HET - REF	p.value.HET - KO	p.value.HET - WT	p.value.KO - REF	p.value.KO - HET	p.value.KO - WT	p.value.WT - REF	p.value.WT - HET	p.value.WT - KO	p.value.adj.REF - HET	p.value.adj.REF - KO	p.value.adj.REF - WT	p.value.adj.HET - REF	p.value.adj.HET - KO	p.value.adj.HET - WT	p.value.adj.KO - REF	p.value.adj.KO - HET	p.value.adj.KO - WT	p.value.adj.WT - REF	p.value.adj.WT - HET	p.value.adj.WT - KO	F	F.p.value
AIMP1	-2.6933879	-1.56681324	-0.52832083	0	1.56681324	1.03849241	1.56681324	0.52832083	-1.03849241	0.52832083	0	-1.56681324	-0.52832083	-0.8737037	-0.2946081	0	0.8737037	0.8189649	1.2356036	0.2946081	-0.8189649	0.4166388	0	-1.2356036	-0.4166388	0.4079210784	0.7758471621	1	0.4079210784	0.4366900088	0.2519046432	0.7758471621	0.4366900088	0.6879753638	1	0.2519046432	0.6879753638	0.78304286049	0.94017590129	1	0.78304286049	0.96986823178	0.9429959267	0.94017590129	0.96986823178	1	1	0.9429959267	1	0.5875552	0.6401565267
AKR1B1	-1.7942793	-1.87156995	-1.5849625	-1.6356302	1.87156995	0.28660745	0.23593975	1.5849625	-0.28660745	-0.0506677	1.6356302	-0.23593975	0.0506677	-1.0605087	-0.8981051	-0.9268155	1.0605087	0.2296734	0.1890707	0.8981051	-0.2296734	-0.0406026	0.9268155	-0.1890707	0.0406026	0.320097202	0.3955406191	0.3813250353	0.320097202	0.8241503398	0.85477979	0.3955406191	0.8241503398	0.9686148359	0.3813250353	0.85477979	0.9686148359	0.7207349903	0.78211714478	0.84005331988	0.7207349903	0.99268824044	1	0.78211714478	0.99268824044	1	0.84005331988	1	1	0.3900637	0.7635351037
ALCAM	4.9003099	-1.52160354	-2.62755673	-2.24569738	1.52160354	-1.10595318	-0.72409384	2.62755673	1.10595318	0.38185934	2.24569738	0.72409384	-0.38185934	-2.014034	-3.4779024	-2.9724634	2.014034	-2.0702225	-1.3554239	3.4779024	2.0702225	0.7147986	2.9724634	1.3554239	-0.7147986	0.0790444374	0.0084407236	0.0179504536	0.0790444374	0.0724594887	0.2125684314	0.0084407236	0.0724594887	0.4952053027	0.0179504536	0.2125684314	0.4952053027	0.43716396592	0.16529519295	0.2983194435	0.43716396592	0.91076806248	0.9429959267	0.16529519295	0.91076806248	1	0.2983194435	0.9429959267	1	4.6584768	0.036691071
ALDH2	1.573012	-1.88881994	-0.59569544	-0.49861834	1.88881994	1.29312449	1.39020159	0.59569544	-1.29312449	0.0970771	0.49861834	-1.39020159	-0.0970771	-1.801212	-0.5680657	-0.4754913	1.801212	1.7439323	1.8748523	0.5680657	-1.7439323	0.13092	0.4754913	-1.8748523	-0.13092	0.1096242579	0.5856883056	0.6472400537	0.1096242579	0.119604774	0.0979461331	0.5856883056	0.119604774	0.8990941645	0.6472400537	0.0979461331	0.8990941645	0.50787932804	0.8476958493	0.88065020945	0.50787932804	0.92177541338	0.94046537353	0.8476958493	0.92177541338	1	0.88065020945	0.94046537353	1	1.8204562	0.221956146
ALDOA	3.9915576	-0.22475731	-0.64325346	-0.6090593	0.22475731	-0.41849615	-0.38430199	0.64325346	0.41849615	0.03419416	0.6090593	0.38430199	-0.03419416	-0.2814335	-0.8054602	-0.7626435	0.2814335	-0.7410857	-0.6805336	0.8054602	0.7410857	0.0605521	0.7626435	0.6805336	-0.0605521	0.7855715455	0.4439988673	0.4677206391	0.7855715455	0.4799778839	0.5155124358	0.4439988673	0.4799778839	0.9532119902	0.4677206391	0.5155124358	0.9532119902	0.93094896218	0.82423193977	0.85024860792	0.93094896218	0.96986823178	0.97935209382	0.82423193977	0.96986823178	1	0.85024860792	0.97935209382	1	0.3778129	0.7717191025
ALDOC	1.425608	-5.0204008	-5.76854476	-5.03617482	5.0204008	-0.74814396	-0.01577402	5.76854476	0.74814396	0.73236994	5.03617482	0.01577402	-0.73236994	-5.0358495	-5.7862956	-5.051672	5.0358495	-1.0612911	-0.0223765	5.7862956	1.0612911	1.0389146	5.051672	0.0223765	-1.0389146	0.0010292875	0.0004229059	0.001009353	0.0010292875	0.3197627229	0.9826996372	0.0004229059	0.3197627229	0.3294375551	0.001009353	0.9826996372	0.3294375551	0.04597596044	0.02459902432	0.04472730164	0.04597596044	0.96986823178	1	0.02459902432	0.96986823178	1	0.04472730164	1	1	11.6892883	0.0027657238
ALK	-0.5789808	3.22782221	2.61151087	4.01897501	-3.22782221	-0.61631134	0.7911528	-2.61151087	0.61631134	1.40746414	-4.01897501	-0.7911528	-1.40746414	1.1724689	0.9486009	1.4598459	-1.1724689	-0.3165971	0.4064125	-0.9486009	0.3165971	0.7230096	-1.4598459	-0.4064125	-0.7230096	0.2749756473	0.3707913241	0.1827271673	0.2749756473	0.7597110071	0.6951706722	0.3707913241	0.7597110071	0.4904159048	0.1827271673	0.6951706722	0.4904159048	0.69102003264	0.76506961106	0.73871789282	0.69102003264	0.99268824044	1	0.76506961106	0.99268824044	1	0.73871789282	1	1	0.7450532	0.5549942848
ALOX12B	-1.9598145	0.31584419	0.81098647	-0.38400103	-0.31584419	0.49514228	-0.69984522	-0.81098647	-0.49514228	-1.1949875	0.38400103	0.69984522	1.1949875	0.1230076	0.315844	-0.1495517	-0.1230076	0.2727118	-0.385457	-0.315844	-0.2727118	-0.6581689	0.1495517	0.385457	0.6581689	0.9051570132	0.7602616396	0.884846382	0.9051570132	0.7920314165	0.7100177703	0.7602616396	0.7920314165	0.5290426431	0.884846382	0.7100177703	0.5290426431	1	0.93591291789	1	1	0.99268824044	1	0.93591291789	0.99268824044	1	1	1	1	0.1495275	0.927078162
ANP32A	-1.8317189	3.33567576	3.33567576	3.00234242	-3.33567576	0	-0.33333333	-3.33567576	0	-0.33333333	-3.00234242	0.33333333	0.33333333	1.5456532	1.5456532	1.3911964	-1.5456532	0	-0.2184349	-1.5456532	0	-0.2184349	-1.3911964	0.2184349	0.2184349	0.1610460809	0.1610460809	0.2018986449	0.1610460809	1	0.8325987633	0.1610460809	1	0.8325987633	0.2018986449	0.8325987633	0.8325987633	0.59046776524	0.55314866095	0.75077574638	0.59046776524	1	1	0.55314866095	1	1	0.75077574638	1	1	0.9142209	0.4764995288
ANP32B	-2.097254	3.5849625	2.52832083	1.7543448	-3.5849625	-1.05664167	-1.8306177	-2.52832083	1.05664167	-0.77397603	-1.7543448	1.8306177	0.77397603	2.2714984	1.6019907	1.1115852	-2.2714984	-0.9468268	-1.6403649	-1.6019907	0.9468268	-0.6935381	-1.1115852	1.6403649	0.6935381	0.0530006663	0.1481016453	0.2988317313	0.0530006663	0.3716410027	0.1398357523	0.1481016453	0.3716410027	0.5077447532	0.2988317313	0.1398357523	0.5077447532	0.35999442633	0.53967791345	0.81977681006	0.35999442633	0.96986823178	0.9429959267	0.53967791345	0.96986823178	1	0.81977681006	0.9429959267	1	2.0085481	0.1919274754
