Gene.ID	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10
ENSG00000268705	0.55	0	0	0	5.05	0	0	0	0	0
ENSG00000090659	2.19	43.76	0.68	44.48	0	0	4.53	4.6	7.01	4.04
ENSG00000104883	19.14	15.32	9.54	105.13	35.32	71.75	5.29	17.83	16.94	11.67
ENSG00000198723	12.58	155.34	9.54	299.2	47.93	35.88	15.11	17.83	5.26	15.25
ENSG00000267952	0	2.19	0	0	7.57	40.66	0	3.45	2.92	4.04
ENSG00000198816	195.21	286.61	395.83	1018.91	857.76	1667.06	302.27	327.92	281.6	224.78
ENSG00000269371	0	0	0	0	0	0	0	0	0	0
ENSG00000090674	161.85	192.54	284.1	1491.97	633.23	1212.63	278.08	336.55	300.88	139.54
ENSG00000268614	0	0	0	0	0	0	0	0	0	0
ENSG00000032444	185.36	328.19	213.24	808.66	562.59	1203.06	233.5	288.22	215.58	101.4
ENSG00000104938	0	37.19	1.36	36.39	7.57	52.62	3.78	0.58	2.92	4.04
ENSG00000011304	469.7	581.98	715.36	1338.33	719.01	1207.84	1005.79	1243.8	976.25	123.83
ENSG00000142541	9325.65	7462.93	10590.68	19217.73	15838.3	45276.18	13737.22	11790.18	15540.49	5107.68
ENSG00000249709	28.43	54.7	36.79	109.17	90.82	26.31	24.94	29.92	43.23	17.5
ENSG00000269693	0	0	0	0	0	0	0	0	0	0
ENSG00000269560	4.92	37.19	2.73	177.9	22.71	59.79	6.05	5.18	1.75	3.14
ENSG00000230310	2.73	4.38	0.68	44.48	2.52	2.39	1.51	5.18	0	0.45
ENSG00000213290	4.37	13.13	2.73	0	17.66	2.39	4.53	9.78	3.51	1.35
ENSG00000188033	60.15	122.52	53.82	214.29	166.51	145.9	33.25	63.86	39.73	33.65
ENSG00000173875	151.46	389.45	195.53	752.05	590.34	978.23	142.82	187.55	168.84	111.72
ENSG00000178464	33.35	0	34.75	12.13	60.55	121.98	52.14	58.11	64.27	18.84
ENSG00000269242	1.09	0	0	0	0	0	0	0	0	0
ENSG00000104774	144.9	288.8	158.74	485.19	163.98	289.4	289.42	412.49	283.35	55.19
ENSG00000269590	0	0	0	0	0	0	0	0	0	0
ENSG00000123154	134.51	185.97	128.76	893.57	491.95	583.59	83.88	82.27	106.91	104.09
ENSG00000285589	20.78	39.38	11.58	202.16	95.87	74.14	21.91	31.64	7.01	7.18
ENSG00000105583	0	0	0	0	12.61	11.96	2.27	1.73	0	0
ENSG00000285583	0	0	0	0	0	0	0	0	0	0
ENSG00000268945	2.19	0	1.36	0	2.52	112.41	5.29	5.75	2.92	5.83
ENSG00000283980	0	2.19	0	0	0	0	1.51	1.15	0	0
ENSG00000132004	44.29	37.19	57.91	125.34	80.73	248.74	54.41	64.43	39.14	29.16
ENSG00000267791	0	0	0	0	0	0	0	0	0	0
ENSG00000209702	0	0	0	0	0	0	0	0	0	0
ENSG00000267004	0	13.13	0	0	5.05	0	0	0.58	0	0
ENSG00000123144	1537.05	2045.69	2797.38	9970.74	7407.02	14384.1	2991.67	2984.65	2796.12	2023.06
ENSG00000198356	197.39	306.31	235.73	541.8	623.14	1152.83	283.37	270.97	237.2	122.94
ENSG00000039987	0.55	2.19	0	117.26	5.05	0	2.27	3.45	2.92	2.24
ENSG00000263800	0	0	0	0	0	0	0	0	0	0
ENSG00000171223	42.1	41.57	128.76	181.95	60.55	172.21	184.38	203.08	165.34	19.74
ENSG00000167815	902.76	365.38	1361.9	3283.15	2419.39	5096.86	927.96	833.61	930.68	961.05
ENSG00000267062	2.73	0	2.04	0	0	7.18	4.53	1.73	1.17	2.69
ENSG00000104889	4.37	45.95	10.22	0	20.18	14.35	8.31	6.9	11.1	5.83
ENSG00000267424	5.47	2.19	4.09	0	27.75	0	8.31	15.53	23.37	0.45
ENSG00000276181	0	0	0	0	0	0	0	0	0	0
ENSG00000267735	0	0	0	0	0	0	0	0	0	0
ENSG00000240616	10.39	21.88	18.39	93	73.16	33.48	20.4	24.74	11.1	15.25
ENSG00000095066	196.85	798.58	203.02	1075.51	711.44	1100.21	325.69	378.55	314.9	122.49
ENSG00000074181	231.3	684.81	353.59	153.64	181.64	78.93	501.76	695.54	473.23	29.16
ENSG00000275711	0	0	0	0	0	0	0	0	0	0
ENSG00000269635	1.09	4.38	5.45	56.61	25.23	0	1.51	2.3	4.09	4.49
