Gene	UHR_1	UHR_2	brain_1	brain_2
AEBP2	302	305	180	172
AEN	536	580	81	104
AES	2560	2584	6379	6991
AFAP1	397	390	258	307
AFAP1L1	105	119	24	16
AFAP1L2	47	47	238	282
AFARP1	36	37	15	21
AFF1	364	425	128	153
AFF2	28	37	145	162
AFF3	115	120	343	333
AFF4	522	562	440	505
AFG3L1	246	278	115	114
AFG3L2	586	606	297	332
AFMID	251	244	142	159
AFP	2572	2783	6	5
AFTPH	136	136	207	215
AG2	82	73	382	441
AGA	72	86	25	26
AGAP1	309	329	483	494
AGAP11	6	5	5	9
AGAP2	60	74	3145	3366
AGAP3	1201	1157	2485	2753
AGAP4	4	4	3	5
AGAP5	7	8	5	2
AGAP6	38	35	20	22
AGAP7	5	4	3	3
AGAP8	8	8	3	5
AGBL1	1	1	2	1
AGBL2	8	11	3	3
AGBL3	7	6	5	12
AGBL4	1	2	31	30
AGBL5	482	551	118	120
AGER	69	62	26	25
AGFG1	392	388	241	276
AGFG2	299	377	305	321
AGGF1	189	232	148	138
AGK	210	222	148	152
AGL	158	138	86	91
AGMAT	146	155	10	11
AGPAT1	997	1122	752	827
AGPAT2	459	477	77	53
AGPAT3	893	883	1157	1253
AGPAT4	122	132	440	484
AGPAT5	365	376	182	190
AGPAT6	887	917	691	771
AGPAT9	45	48	21	15
AGPHD1	14	13	5	7
AGPS	332	372	108	94
AGR2	96	98	1	1
AGR3	3	4	1	1
AGRN	4277	4155	989	1038
AGRP	1	3	2	1
AGT	1576	1676	1668	1916
AGTPBP1	86	122	156	187
AGTR1	5	3	2	4
AGTRAP	318	337	61	65
AGXT	77	79	1	1
AGXT2L1	1	7	187	220
AGXT2L2	169	187	82	78
AHCTF1	193	210	45	69
AHCY	2129	2133	294	302
AHCYL1	1146	1153	1830	2012
AHCYL2	163	132	251	273
AHDC1	453	493	974	1078
AHI1	86	97	137	144
AHNAK	4586	4760	1223	1295
AHNAK2	524	529	393	459
AHR	247	240	49	39
AHRR	454	447	23	28
AHSA1	868	937	568	633
AHSA2	544	602	197	239
AHSG	7533	7866	14	15
AHSP	1	2	1	1
AIDA	37	23	19	20
AIF1	48	43	20	27
AIF1L	467	463	785	812
