Feature.ID	baseMean	log2(brain/UHR)	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
ABCC6	46.8920605571997	-3.15841420782215	-6.67589074309726	2.4573499572634e-11	9.19066277763751e-11	108	97	6	9	90.82	78.72	7.48	10.55
ABCC6P1	5.16359767633115	-2.49492875398727	-2.1328523833836	0.0329368375142338	0.0551081469958444	13	9	1	1	10.93	7.3	1.25	1.17
ABCC6P2	1.84400347964527	-0.792980793734856	-0.571665118499472	0.567548870059319	0.677539513384483	3	3	1	1	2.52	2.43	1.25	1.17
ABCC8	286.242414695332	7.2495206274712	14.0991434462058	3.84407129185047e-45	3.90400021962518e-44	4	4	460	482	3.36	3.25	573.21	565.15
ABCC9	22.9668111030761	3.37362564995277	5.29507047512701	1.18970519063572e-07	3.54433392893855e-07	2	7	33	37	1.68	5.68	41.12	43.38
ABCD1	182.405102479496	-2.53531397945435	-11.3451262212294	7.84130156410588e-30	5.61374626843892e-29	367	387	51	37	308.61	314.08	63.55	43.38
ABCD2	34.9489933603578	4.18288245436863	6.88368567923892	5.83234898741728e-12	2.2508204998712e-11	2	6	58	52	1.68	4.87	72.27	60.97
ABCD3	147.588583283081	-0.501638743986411	-2.46614420164857	0.0136576338780541	0.0244444403112858	208	211	100	102	174.91	171.24	124.61	119.6
ABCD4	178.047394800214	0.0628356780366279	0.331523792251571	0.740248872514927	0.818393810188002	206	216	130	172	173.22	175.3	161.99	201.67
ABCE1	115.842001416492	-1.19285123777247	-4.87219801509583	1.10363471328624e-06	3.05535431758563e-06	179	212	65	51	150.52	172.05	81	59.8
ABCF1	657.089731987404	-1.3552795072576	-12.6577842899717	1.01318731977084e-36	8.53536279746723e-36	1143	1145	293	318	961.14	929.25	365.11	372.86
ABCF2	425.231783687421	-0.483892790938518	-3.9053777182716	9.40783218744155e-05	0.000219013320119341	592	609	280	307	497.81	494.25	348.91	359.96
ABCF3	419.890810745307	0.643913225654371	5.20187284032056	1.9729020128672e-07	5.77273374692506e-07	398	395	408	440	334.68	320.57	508.41	515.91
ABCG1	198.688169120239	0.472252469010577	2.66911050264073	0.00760524245055664	0.0142081046841965	188	215	194	188	158.09	174.49	241.74	220.43
ABCG2	66.8560874969521	1.36822757005352	4.461326540352	8.14538629177498e-06	2.09295607243204e-05	38	52	77	83	31.95	42.2	95.95	97.32
ABCG4	182.436218399149	5.8626617983441	14.2270656683337	6.22390222870738e-46	6.43080218329558e-45	7	7	279	316	5.89	5.68	347.66	370.52
ABCG5	12.0218839198018	-2.10334105124311	-2.76276958013558	0.00573132109607902	0.0108988493341613	24	24	3	4	20.18	19.48	3.74	4.69
ABCG8	13.2921022889679	-1.35713883252928	-2.0033364306981	0.0451411896860624	0.0736112910594323	20	27	5	7	16.82	21.91	6.23	8.21
ABHD1	5.11156223130896	-0.777177143147376	-0.792620287262814	0.427999085262521	0.537320705575332	7	9	3	3	5.89	7.3	3.74	3.52
ABHD10	156.947877810541	0.662196249989253	3.36266210305882	0.000771947885616156	0.00163409667039734	148	146	147	172	124.45	118.49	183.18	201.67
ABHD11	118.846601404802	-0.698437705019257	-2.97233934635289	0.00295539833240963	0.00582444955233071	193	163	67	83	162.29	132.29	83.49	97.32
ABHD12	824.980299247414	0.988313062609042	10.5191148454962	7.0533078118771e-26	4.55424376094794e-25	677	661	866	951	569.29	536.45	1079.12	1115.06
ABHD12B	6.83627469181835	1.74062733545033	1.92121492010314	0.0547046179383899	0.0879323341578547	4	3	6	12	3.36	2.43	7.48	14.07
ABHD13	50.0218017357738	0.145783877422276	0.430509500271751	0.666825057446663	0.754953043035228	54	61	43	44	45.41	49.51	53.58	51.59
ABHD14A	323.886533224105	2.19336522092969	13.9490014503708	3.1904088842043e-44	3.18404815295562e-43	123	158	404	478	103.43	128.23	503.43	560.46
ABHD14B	311.791408885285	-1.90322110779942	-12.0477851221616	1.99231654594957e-33	1.56408771510742e-32	583	609	112	105	490.24	494.25	139.56	123.11
ABHD15	77.536134720241	-1.70546063177184	-5.42448078966032	5.81232404488801e-08	1.76984197185625e-07	154	134	21	39	129.5	108.75	26.17	45.73
ABHD2	810.072578105307	0.842988667030728	8.75316999610268	2.0744185257388e-18	1.05535140937693e-17	703	700	874	846	591.15	568.1	1089.09	991.95
ABHD3	77.1634208628643	-1.36052493887381	-4.56250675381749	5.05464671228077e-06	1.3229153792103e-05	144	125	39	32	121.09	101.45	48.6	37.52
ABHD4	201.240149311907	-0.466119826253501	-2.63072864429255	0.00852020355211572	0.0157871918924942	269	297	128	152	226.2	241.04	159.5	178.22
ABHD5	77.0589363222741	-0.281043152493171	-1.00970262446684	0.312637784709237	0.41384801257753	94	111	58	57	79.04	90.08	72.27	66.83
ABHD6	214.53002156881	2.14247178779934	11.6338515766395	2.77297150301144e-31	2.06771712780414e-30	101	90	273	307	84.93	73.04	340.19	359.96
ABHD8	744.294414587464	2.58840027386519	23.5850172280859	5.49179346028913e-123	1.5339925873953e-121	257	256	982	1134	216.11	207.76	1223.67	1329.63
ABI1	250.906781993567	0.753210690369571	4.76731819064958	1.86694337434226e-06	5.07134632353685e-06	229	223	245	277	192.57	180.98	305.3	324.79
ABI2	595.850318929972	1.0468851605132	9.65262126624779	4.79150046255543e-22	2.76949017923821e-21	444	497	658	671	373.36	403.35	819.94	786.76
ABI3	27.6309441235464	1.57386591211264	3.3294119047891	0.000870295909603413	0.00183209039314698	19	14	31	38	15.98	11.36	38.63	44.56
ABI3BP	14.7143669361513	-0.263271613513081	-0.431694293732324	0.665963615281979	0.754449400863189	18	21	12	10	15.14	17.04	14.95	11.73
ABL1	1000.61437650094	-0.937700528520609	-10.214913119372	1.70031399833955e-24	1.05870287647839e-23	1482	1705	551	585	1246.21	1383.72	686.6	685.92
ABL2	305.429514394798	0.142680938215555	0.9878366652966	0.323232647572439	0.426300452202936	337	366	270	260	283.38	297.03	336.45	304.85
ABLIM1	1894.14337607117	3.08847200610036	39.817052581541	0	0	472	492	2689	2925	396.9	399.29	3350.77	3429.61
ABLIM2	365.440646008659	6.45268943175213	18.5671790828379	5.92343080744761e-77	1.0060312573149e-75	8	11	579	618	6.73	8.93	721.49	724.61
ABLIM3	352.503689182046	1.68671009782208	11.9683029482442	5.20830163585459e-33	4.03882240999698e-32	200	204	413	479	168.18	165.56	514.64	561.64
ABO	17.3883737892249	-2.32971020097389	-3.51886915532183	0.000433390397362066	0.00094594975773049	37	34	4	5	31.11	27.59	4.98	5.86
ABP1	2.67756798417749	-1.43259117384433	-1.1016334959062	0.270621039973953	0.365943944085712	6	4	1	1	5.05	3.25	1.25	1.17
