Feature.ID	baseMean	log2(brain/UHR)	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
NFYB	85.5953464927674	0.393916956600097	1.50954649771193	0.1311591821242	0.193613996769093	86	93	79	82	72.32	75.48	98.44	96.15
NFYC	273.307580659882	0.283335112318436	1.81569047189403	0.0694178664729584	0.109075388736876	299	298	218	280	251.43	241.85	271.65	328.3
NGB	72.5313656662588	6.85648538559355	7.0855047934744	1.38538374251856e-12	5.51197857146789e-12	1	1	112	127	0.84	0.81	139.56	148.91
NGDN	122.448621452748	-0.202849600042958	-0.88408368158634	0.376651041505025	0.484425700575294	144	174	80	109	121.09	141.21	99.69	127.8
NGEF	873.45374893878	3.65669346481076	31.0103895831812	3.90466786791328e-211	2.28537206718297e-209	142	168	1253	1430	119.41	136.34	1561.37	1676.7
NGF	4.60588470775053	0.761807035325753	0.729462169454421	0.46571900064435	0.57450757654065	2	6	2	8	1.68	4.87	2.49	9.38
NGFR	167.267659222828	1.86257832539072	9.28141599588015	1.67240984596765e-20	9.19173073966966e-20	88	86	207	228	74	69.79	257.94	267.33
NGFRAP1	1052.87774228853	1.56705035638689	17.1800614109618	3.74514533739525e-66	5.42988983292168e-65	586	701	1265	1342	492.77	568.91	1576.32	1573.52
NGLY1	142.764413108845	-1.25879779078289	-5.70008909276943	1.19744830318946e-08	3.80646083276569e-08	217	272	66	73	182.47	220.75	82.24	85.59
NGRN	1271.06226117626	1.87696577207001	22.5759277603568	7.47250532634257e-113	1.89270301355111e-111	628	689	1560	1751	528.08	559.17	1943.92	2053.08
NHEDC1	5.49794873573151	0.870475564585501	0.920762786916708	0.357174287556059	0.462372139394796	6	3	6	6	5.05	2.43	7.48	7.04
NHEDC2	169.089779269214	1.53881819595649	7.73537207866283	1.03101121781111e-14	4.50537454289063e-14	100	109	218	198	84.09	88.46	271.65	232.16
NHEJ1	61.2098152728786	-0.794585446244504	-2.42841713477377	0.0151648901343141	0.0268715920013901	77	112	33	41	64.75	90.9	41.12	48.07
NHLH1	10.7005775668264	1.79427371995198	2.38568398479717	0.0170473928251624	0.0299949594228322	3	8	13	15	2.52	6.49	16.2	17.59
NHLH2	22.4064372559075	2.89004246408432	4.70952038593424	2.48300379630481e-06	6.68341562378804e-06	10	2	30	36	8.41	1.62	37.38	42.21
NHLRC1	19.887518789764	1.70313692125988	3.05954725388779	0.0022167181483555	0.00444043940796318	12	10	21	30	10.09	8.12	26.17	35.18
NHLRC2	34.2357807550369	-0.759973133922751	-1.76978461731535	0.0767630273855706	0.119520856751111	42	63	17	25	35.32	51.13	21.18	29.31
NHLRC3	80.5355843152395	-0.17744517907315	-0.657637494026317	0.510771095832569	0.620704515743125	103	104	62	63	86.61	84.4	77.26	73.87
NHLRC4	13.5257304454014	-0.697800007005977	-1.06164322289528	0.288397683731738	0.38687593370558	18	23	5	12	15.14	18.67	6.23	14.07
NHP2	338.129071100166	-0.604053216048061	-4.37786403143266	1.19848076536148e-05	3.03037366990642e-05	484	504	216	228	406.99	409.03	269.16	267.33
NHP2L1	1017.28696128212	0.464197456104078	5.42186570436199	5.89801867539388e-08	1.79564838737744e-07	994	1077	926	1028	835.85	874.06	1153.89	1205.35
NHS	59.0953208624056	0.290226654877214	0.895307483754913	0.370622740854209	0.477706042589021	52	77	48	60	43.73	62.49	59.81	70.35
NHSL1	272.711873985677	-1.19587201411372	-7.42223866553852	1.15157057308095e-13	4.81538259862515e-13	481	438	131	143	404.47	355.47	163.24	167.67
NHSL2	48.0262551808145	2.94099445094766	7.13698770067669	9.53983775252466e-13	3.83083795078159e-12	13	13	72	69	10.93	10.55	89.72	80.9
NICN1	243.528747409723	1.74606908267734	10.4343024645093	1.72878763542907e-25	1.10389387046431e-24	138	132	310	311	116.04	107.13	386.29	364.65
NID1	491.708178214659	-2.99857866283869	-19.7471074862304	8.49458983686314e-87	1.62233019956637e-85	1004	1114	101	79	844.26	904.09	125.86	92.63
NID2	167.560300271654	-3.37740722583625	-12.813226389051	1.38263769147955e-37	1.19385084735924e-36	369	372	24	24	310.29	301.9	29.91	28.14
NIF3L1	106.782839983372	-0.726309042743602	-3.00234731483235	0.00267906328053776	0.00531121852239596	148	175	64	69	124.45	142.02	79.75	80.9
NIN	231.294360576089	-0.271763440009207	-1.66317534016366	0.096277342333986	0.14642900822556	296	317	165	182	248.91	257.27	205.61	213.4
NINJ1	344.749776652768	-0.55168838662875	-4.02723621032854	5.64363284596609e-05	0.000134309000370283	484	509	218	245	406.99	413.09	271.65	287.27
NINJ2	76.573845960658	1.05612518189858	3.71906303502889	0.000199963150081991	0.000451102827426427	61	59	74	98	51.29	47.88	92.21	114.91
NINL	251.623124633703	-0.37444916358215	-2.36121689229036	0.0182150738702845	0.0318990181514042	346	342	168	195	290.95	277.56	209.35	228.64
NIP7	116.389004999267	-2.29085271520941	-8.48620552761989	2.13493714616576e-17	1.04397877620476e-16	237	232	24	41	199.29	188.28	29.91	48.07
NIPA1	442.958434053741	1.46760463077024	11.8087842437232	3.51608570422192e-32	2.67746125963608e-31	284	285	513	565	238.81	231.3	639.25	662.47
NIPA2	256.084123642113	-0.68483025978588	-4.34507391279452	1.39228775149293e-05	3.49717385565806e-05	373	392	156	169	313.65	318.13	194.39	198.16
NIPAL1	3.1732999271234	-0.105916401257653	-0.0922315166104829	0.926514098122534	0.961387255863345	4	4	3	2	3.36	3.25	3.74	2.35
NIPAL2	43.9089801538021	1.32343761878954	3.50609593090091	0.000454731295426522	0.000990030754446984	35	25	54	50	29.43	20.29	67.29	58.63
NIPAL3	974.348090789681	2.82764518766363	27.3766395689018	5.20454370352658e-165	2.17584242480182e-163	260	322	1412	1414	218.63	261.33	1759.5	1657.94
NIPAL4	23.4477457094706	3.75978498403766	5.6050664997297	2.08175022184195e-08	6.51086036170298e-08	3	4	33	40	2.52	3.25	41.12	46.9
NIPBL	316.983442594448	-0.904613395130967	-5.98935288807738	2.10677596787793e-09	7.03812652985141e-09	479	523	157	209	402.79	424.45	195.64	245.06
NIPSNAP1	514.448818072327	-0.404048858837718	-3.47567111414424	0.000509576790404574	0.0011016217419111	685	735	335	399	576.01	596.5	417.44	467.83
NIPSNAP3A	49.22464557412	-0.263526940338731	-0.762009711389344	0.446054208077365	0.554166491153264	70	60	35	39	58.86	48.69	43.61	45.73
NIPSNAP3B	6.46426273140715	0.819890528465297	0.930311674839536	0.352209734772756	0.457163669385695	5	6	5	9	4.2	4.87	6.23	10.55
NISCH	2478.4040636265	2.48333937572005	37.2003133533008	6.74496657433203e-303	7.37372150442207e-301	883	937	3333	3631	742.51	760.44	4153.26	4257.41
NIT1	188.009920276193	0.0146836263435666	0.0819421624965964	0.934692706329327	0.967709392031593	222	231	148	165	186.68	187.47	184.42	193.47
NIT2	80.1070181444831	-1.28896475156472	-4.29360321887297	1.7579652846421e-05	4.37181535422434e-05	142	134	27	50	119.41	108.75	33.64	58.63
NKAIN1	192.686615543146	1.49364469672761	8.06119093333318	7.55547104187892e-16	3.46063496649701e-15	121	123	214	258	101.75	99.82	266.67	302.51
NKAIN2	132.49987709379	6.98563945650478	9.794208984206	1.19226946843452e-22	7.02147053515837e-22	3	1	194	243	2.52	0.81	241.74	284.92
NKAIN3	3.88629860717258	1.62430401854284	1.44113443850158	0.149546705887637	0.217966243153369	2	2	7	3	1.68	1.62	8.72	3.52
NKAIN4	109.036456542	1.03284209175327	4.38295778953014	1.17078803905188e-05	2.96429257005788e-05	83	90	114	129	69.79	73.04	142.06	151.25
NKAP	75.6473998125986	-0.870565221461386	-3.00372266755867	0.00266698311125858	0.00528947479328128	118	119	49	39	99.23	96.58	61.06	45.73
NKAPL	10.2978138235858	3.59732013837083	3.72648114066028	0.00019417159335811	0.000439078940663096	2	1	16	16	1.68	0.81	19.94	18.76
NKD1	128.842685381282	-1.81201744655797	-7.61280943835259	2.68201083380176e-14	1.1526708106773e-13	248	238	47	47	208.54	193.15	58.57	55.11
NKD2	103.519128144731	-1.61831939578268	-6.11145920114703	9.87242430730979e-10	3.37211806740253e-09	190	189	33	51	159.77	153.39	41.12	59.8
NKG7	3.87954525131437	-0.164963649734811	-0.154601758794162	0.877135283353077	0.922994307018644	5	5	3	3	4.2	4.06	3.74	3.52
NKIRAS1	103.979397586521	2.63689342513947	9.69568254187836	3.14527560788736e-22	1.82796922130257e-21	32	37	146	151	26.91	30.03	181.93	177.05
NKIRAS2	252.163995477231	-1.38288862625937	-8.33575740710491	7.70036576352531e-17	3.67292772201049e-16	444	439	111	120	373.36	356.28	138.32	140.7
NKPD1	18.1742937454311	0.656708928881306	1.15539347027	0.247929334662948	0.339228411794529	11	23	19	18	9.25	18.67	23.68	21.11
NKRF	135.411787954875	0.219287271221592	1.01185845023614	0.311605738087667	0.412596710977558	153	150	102	140	128.66	121.74	127.1	164.15
NKTR	534.730390111928	-0.362641311706791	-3.13662590518741	0.00170904039006125	0.00347991503957879	675	783	385	389	567.61	635.46	479.75	456.11
NKX1-2	7.10559269343168	-2.47509454898222	-2.43462300219328	0.0149073122623288	0.0264620095048543	14	16	2	1	11.77	12.99	2.49	1.17
NKX2-1	2.5386056253365	1.88189264021758	1.42067663567257	0.155410787906905	0.225373485367473	1	1	4	3	0.84	0.81	4.98	3.52
NKX2-2	66.053409071603	2.54503883624297	7.58089348355972	3.43183270105476e-14	1.46697351998795e-13	24	22	94	93	20.18	17.85	117.13	109.04
NKX2-3	2.57539869405242	1.87360374328805	1.39244462672123	0.163787798647761	0.235475134598875	1	1	6	1	0.84	0.81	7.48	1.17
NKX2-4	8.14204939105583	-2.69295129572413	-2.71223006376832	0.00668321897239322	0.0125894425918859	17	18	2	1	14.3	14.61	2.49	1.17
NKX2-5	12.5630314670202	-3.84893381992849	-3.66201698913073	0.000250237260012304	0.00055881816857878	26	32	1	1	21.86	25.97	1.25	1.17
NKX2-6	5.96783453797738	-2.72450307464789	-2.38281158347509	0.0171809854646942	0.0301937089347203	12	14	1	1	10.09	11.36	1.25	1.17
NKX2-8	2.71203666043402	1.43611153668583	1.13839329641239	0.254956291989077	0.347729159404619	2	1	2	5	1.68	0.81	2.49	5.86
NKX3-1	32.7979372454186	-2.18308546291633	-4.52523113868564	6.03295336303947e-06	1.5705328982036e-05	61	70	11	8	51.29	56.81	13.71	9.38
NKX3-2	19.0199781071937	-3.98944767976854	-4.46739427740264	7.91781193175209e-06	2.03778404229182e-05	34	54	2	1	28.59	43.82	2.49	1.17
NKX6-1	3.82236877292164	-0.501777667282737	-0.452888701980136	0.650628886786564	0.740324510937405	7	4	4	1	5.89	3.25	4.98	1.17
NKX6-2	369.724647824809	9.09930743561282	9.54280955501628	1.39014173794491e-21	7.90059042103022e-21	1	1	556	669	0.84	0.81	692.83	784.41
NKX6-3	7.92530732262534	3.66908970594615	3.29711735617197	0.000976826762429496	0.00204548642392491	1	1	10	15	0.84	0.81	12.46	17.59
NLE1	170.611940824232	-1.27401203816631	-6.41636702465766	1.39564743905479e-10	4.99680135247508e-10	294	291	76	89	247.22	236.17	94.7	104.35
NLGN1	64.874997265891	1.58022677928433	4.87481463085431	1.08910674639012e-06	3.01689071353327e-06	45	33	67	95	37.84	26.78	83.49	111.39
NLGN2	1631.59570798905	1.7397548300186	22.1542676457061	9.48905481902986e-109	2.31708345016157e-107	858	963	1932	2231	721.49	781.54	2407.47	2615.88
NLGN3	401.099612879598	4.48843541406195	22.9733009471371	8.62071258225726e-117	2.26809397980218e-115	37	45	600	673	31.11	36.52	747.66	789.1
NLGN4X	105.593356288051	2.83397636256628	10.1226711809993	4.38287829188802e-24	2.698967655173e-23	36	26	150	157	30.27	21.1	186.92	184.09
NLGN4Y	50.5990458514575	1.80345292797193	5.02480618001425	5.03941218615787e-07	1.43288039768453e-06	24	30	58	73	20.18	24.35	72.27	85.59
NLK	269.263101947435	1.59131738965148	9.94466975354262	2.66055020941226e-23	1.59902009742307e-22	172	152	319	351	144.63	123.36	397.51	411.55
NLN	160.236114614083	-1.37875802418242	-6.52968664716015	6.5907432699136e-11	2.40447101036242e-10	250	312	70	77	210.22	253.21	87.23	90.28
NLRC3	27.3207250062257	0.100941774904337	0.218858206309053	0.826760503715642	0.879910384472609	26	38	20	27	21.86	30.84	24.92	31.66
NLRC4	5.61793600535125	0.49853611310393	0.536426756111797	0.591663643779078	0.684421420090345	7	4	6	5	5.89	3.25	7.48	5.86
NLRC5	74.3939970445119	-0.169385430268953	-0.600534122894247	0.548150326771155	0.659680850046876	88	103	54	62	74	83.59	67.29	72.7
NLRP1	98.9329622351491	-2.8214679825196	-9.13146072055095	6.75811874131152e-20	3.63554679573608e-19	199	222	18	22	167.34	180.17	22.43	25.8
NLRP11	17.1806298401941	-4.30182094208712	-4.18434282827422	2.85992235465897e-05	6.97722752729549e-05	47	33	1	1	39.52	26.78	1.25	1.17
NLRP12	2.0542275834587	-0.981488105123427	-0.720860773903792	0.470995179157141	0.57981298847574	4	3	1	1	3.36	2.43	1.25	1.17
NLRP14	2.0428736823906	0.427794639144923	0.322396494371042	0.747152339658112	0.823951058320865	3	1	2	2	2.52	0.81	2.49	2.35
NLRP2	53.0682500192922	-2.29935173170417	-5.87267870684756	4.2880905184056e-09	1.40780217192115e-08	114	100	17	12	95.86	81.16	21.18	14.07
NLRP3	14.2322594005424	2.43373591963526	3.4878355879786	0.000486947411208365	0.00105521914513619	5	5	24	16	4.2	4.06	29.91	18.76
NLRP4	2.12980059620939	-0.360440580571721	-0.273624536009557	0.784373176346811	0.850259092800834	2	4	1	2	1.68	3.25	1.25	2.35
NLRP5	1.22066307892648	-0.0210806190976561	-0.0141016536678546	0.98874888115114	0.990471779176035	1	2	1	1	0.84	1.62	1.25	1.17
NLRP6	4.9547818929733	-0.416687116231794	-0.41295037319065	0.679642973603964	0.766567959910739	6	8	1	6	5.05	6.49	1.25	7.04
NLRP7	3.90225305345058	-2.0534418858826	-1.68447965703902	0.0920890076967378	0.140643685620823	7	9	1	1	5.89	7.3	1.25	1.17
NLRP9	2.34735661074432	-0.553241299200832	-0.430784160299336	0.666625317876643	0.754794452181519	4	3	1	2	3.36	2.43	1.25	2.35
NLRX1	160.282779812453	-0.955157543603342	-4.49008368550403	7.11951967548058e-06	1.84054774758075e-05	253	260	70	111	212.75	211.01	87.23	130.15
NMB	49.1750680366657	-0.287995985515928	-0.830370809826417	0.406329164136482	0.516830047489412	63	68	40	33	52.98	55.19	49.84	38.69
NMBR	1.32929644747812	0.812204616761749	0.548298104706253	0.58348722857444	0.684022803209098	1	1	2	1	0.84	0.81	2.49	1.17
NMD3	153.612379026776	-1.28198664670608	-6.13096757241799	8.73462094052172e-10	2.99369296451539e-09	255	273	67	81	214.43	221.56	83.49	94.97
NME1	292.043901791708	-1.85191948041054	-11.4287787471946	3.00302554840009e-30	2.17779458565255e-29	544	564	108	101	457.45	457.72	134.58	118.42
NME2	129.028768151255	-1.19040278857747	-4.79020436146238	1.66611536322323e-06	4.54442879828394e-06	253	181	55	75	212.75	146.89	68.54	87.94
NME2P1	281.497910971599	-2.2413625167307	-12.8962457114726	4.72564601663285e-38	4.12534366812254e-37	582	543	81	81	489.4	440.68	100.93	94.97
NME3	383.262277960444	1.03633971211466	7.70500637856811	1.30836755808042e-14	5.69123432193134e-14	302	306	384	471	253.95	248.34	478.5	552.26
NME4	663.530769296027	-1.85195255974125	-16.3401517085528	5.11255383069066e-60	6.76764084672219e-59	1182	1337	231	245	993.94	1085.07	287.85	287.27
NME5	12.2314755825615	4.31651201456734	4.07095978639869	4.68198322057221e-05	0.000112322720168652	1	1	21	18	0.84	0.81	26.17	21.11
NME6	45.6187295921972	-1.04198789130292	-2.82483036594088	0.00473056532755678	0.00909580649558123	77	72	25	24	64.75	58.43	31.15	28.14
NME7	30.6365864899966	-0.218206506192545	-0.50183309124682	0.615784933765158	0.707863619713224	38	42	19	28	31.95	34.09	23.68	32.83
NMI	26.1271673036252	-1.87091949952697	-3.60042420096064	0.000317698437750272	0.00070254123260703	49	51	11	7	41.2	41.39	13.71	8.21
NMNAT1	38.4518679431026	-0.484438927331529	-1.2380353071119	0.215702969509357	0.30083597668502	49	60	24	29	41.2	48.69	29.91	34
NMNAT2	923.062136714288	6.8272737250039	27.7333753496848	2.76517159253019e-169	1.20364059572332e-167	15	23	1471	1559	12.61	18.67	1833.02	1827.95
NMNAT3	20.7298235254733	2.03540001866935	3.60084144826023	0.000317188970926697	0.000701577744763679	10	9	21	35	8.41	7.3	26.17	41.04
NMRAL1	246.17387249791	-0.0982262631989118	-0.612673619935709	0.540092168782671	0.651684263927067	288	329	184	210	242.18	267.01	229.28	246.23
NMT1	1074.79994162463	0.250703985319547	3.040653707408	0.00236065164364992	0.00471238488461631	1165	1212	928	1006	979.64	983.62	1156.38	1179.55
NMT2	118.8713633872	0.732167521120107	3.2724710805173	0.00106611778564876	0.00222413824507686	107	109	117	129	89.98	88.46	145.79	151.25
NMU	49.3886143848292	-5.04756148518736	-6.79218289944121	1.10449394828172e-11	4.19857791451137e-11	126	107	1	3	105.95	86.84	1.25	3.52
NMUR1	8.67900336611647	0.134409296302994	0.173450441167235	0.8622973795774	0.910083971291396	8	12	9	6	6.73	9.74	11.21	7.04
NMUR2	2.5386056253365	1.88189264021758	1.42067663567257	0.155410787906905	0.225373485367473	1	1	4	3	0.84	0.81	4.98	3.52
NNAT	304.601370905017	5.36669147817488	19.2758882699677	8.56178401626261e-83	1.5555134246165e-81	17	17	449	538	14.3	13.8	559.5	630.81
NNMT	168.567827157451	-4.36840861786882	-13.2444046487722	4.86121401710757e-40	4.4736339155017e-39	402	377	13	12	338.04	305.96	16.2	14.07
NNT	563.078480648708	-0.750797531295553	-6.68446101019276	2.31776098357104e-11	8.68566773630583e-11	809	903	330	365	680.29	732.85	411.21	427.97
NOB1	306.636535620643	-1.74265419020564	-11.1921468201009	4.45514239094017e-29	3.11336218076649e-28	561	583	115	118	471.74	473.14	143.3	138.36
NOC2L	573.155410253395	-0.916502057717698	-8.30888415020072	9.6606178749028e-17	4.58608118833045e-16	890	925	315	342	748.4	750.7	392.52	401
NOC3L	52.3689768414674	-1.90618245737899	-5.14413448785548	2.68756958863401e-07	7.78245527705832e-07	96	105	18	18	80.73	85.21	22.43	21.11
NOC4L	178.829166178226	-0.683972822383619	-3.65691895637079	0.000255265043133616	0.000569716137271099	267	267	108	119	224.52	216.69	134.58	139.53
NOD1	71.7605124775565	-1.22545706308771	-4.03489078992129	5.46277000149975e-05	0.000130330880432119	124	120	29	42	104.27	97.39	36.14	49.25
NOD2	7.42556920882068	-0.288434321524196	-0.345906802434265	0.729412756268888	0.809031454795731	7	13	5	6	5.89	10.55	6.23	7.04
NODAL	7.1200849330636	1.5850929243413	1.80827933813317	0.0705630359678175	0.11070404626572	5	3	10	8	4.2	2.43	12.46	9.38
NOG	58.878655177147	-1.84505843352719	-5.2910864774013	1.21591852054255e-07	3.61902708461281e-07	105	119	19	23	88.29	96.58	23.68	26.97
NOL10	112.446605243541	-1.43505174927326	-5.85835038310016	4.67487515096123e-09	1.53214119782192e-08	197	201	51	49	165.66	163.13	63.55	57.45
NOL11	143.250995133295	-1.84232830446884	-8.10956297255917	5.08021466565037e-16	2.3392845163399e-15	276	267	47	56	232.09	216.69	58.57	65.66
NOL12	169.934261463522	0.0828567038380724	0.428841287862117	0.668038729744615	0.75598981005426	213	186	147	142	179.11	150.95	183.18	166.5
NOL3	302.886439613571	-0.875044594670157	-5.8848231237597	3.9847991070521e-09	1.31049185017886e-08	465	485	161	193	391.02	393.61	200.62	226.3
NOL4	71.4881556127765	6.43119027434796	7.84619440656047	4.28851978752831e-15	1.90243058298422e-14	1	2	108	127	0.84	1.62	134.58	148.91
NOL6	501.596343581772	-0.834823625366283	-7.1350099077203	9.67801884382188e-13	3.88304734121873e-12	756	801	296	300	635.72	650.07	368.85	351.75
NOL7	223.424347914651	-1.02974308541931	-5.84482210565315	5.07109898331057e-09	1.65771515484677e-08	384	342	113	130	322.9	277.56	140.81	152.43
NOL8	103.563708336929	-1.45795407612298	-5.69503091308787	1.23349569852377e-08	3.91516021647241e-08	188	180	46	45	158.09	146.08	57.32	52.76
NOL9	154.550228096858	0.0532470069539264	0.262768722358304	0.79272884451518	0.857264814119826	195	172	117	144	163.97	139.59	145.79	168.84
NOLC1	773.25206896616	-0.849880938083589	-8.64711326020669	5.28185412435268e-18	2.64468094639212e-17	1145	1265	449	464	962.83	1026.63	559.5	544.05
NOM1	186.620342801703	-1.24018372366411	-6.23574770685614	4.49625252662722e-10	1.56644167695061e-09	314	322	73	111	264.04	261.33	90.97	130.15
NOMO1	197.003501485872	-0.167347134210423	-0.94459467062162	0.344865848883091	0.44937924218757	237	268	153	154	199.29	217.5	190.65	180.57
NOMO2	50.7142891375193	-0.592413409156129	-1.70597412075933	0.0880128980495493	0.13516723289993	75	73	27	40	63.07	59.24	33.64	46.9
NOMO3	14.7853616509069	0.277599414287363	0.427059846768221	0.669335738084403	0.75695853088267	24	8	11	16	20.18	6.49	13.71	18.76
NONO	1548.6619974735	-1.70109811428486	-21.8998201877993	2.60807824740552e-106	6.20911945208358e-105	2794	2944	569	637	2349.46	2389.26	709.03	746.89
NOP10	209.492290782648	-1.27570710268926	-6.74185978980051	1.56371949098188e-11	5.90180003124154e-11	357	362	81	122	300.2	293.79	100.93	143.05
NOP14	253.089430354647	-1.21915127879944	-7.15704153321058	8.24367275950098e-13	3.32086283844192e-12	435	423	106	146	365.79	343.29	132.09	171.19
NOP16	72.6445159241111	-1.74485369896739	-5.47409908864319	4.39742969390543e-08	1.34763827352133e-07	132	140	20	35	111	113.62	24.92	41.04
NOP2	393.85866678213	-2.24151963822793	-15.0472789409762	3.59728943895903e-51	4.08279473197367e-50	813	761	109	118	683.65	617.6	135.83	138.36
NOP56	721.309485075023	-1.35249051179301	-13.1289995210651	2.24604288713458e-39	2.03351869581504e-38	1237	1274	315	357	1040.19	1033.94	392.52	418.59
NOP58	185.168176733062	-1.54961949869873	-7.50541958667034	6.12321500189414e-14	2.59123016164695e-13	317	352	91	64	266.56	285.67	113.4	75.04
NOS1	40.0441301131398	5.27371554036461	6.98281599762568	2.89321243422208e-12	1.13403434831594e-11	3	1	60	70	2.52	0.81	74.77	82.08
NOS1AP	211.326321914707	3.50587139519746	15.8263787712827	2.04666147715295e-56	2.55792343090692e-55	39	43	290	355	32.79	34.9	361.37	416.24
NOS2	23.5312291878061	2.98528683608102	5.07608843378486	3.85284026850689e-07	1.10507731585552e-06	6	6	29	41	5.05	4.87	36.14	48.07
NOS3	70.5973510701881	0.455749327739742	1.56605038874707	0.117336821172027	0.175249765415696	66	78	72	63	55.5	63.3	89.72	73.87
NOSIP	322.87979045093	-0.199065126014061	-1.34044930128876	0.180099316505825	0.256502635412833	419	417	213	286	352.34	338.42	265.42	335.34
NOSTRIN	16.0912698652528	-1.69096517543932	-2.58463212203123	0.0097482947198873	0.0179144104107522	32	28	9	3	26.91	22.72	11.21	3.52
NOTCH1	768.65130753927	-0.787778434142888	-8.14238488199988	3.87566934969851e-16	1.79505679011359e-15	1172	1185	454	479	985.53	961.71	565.73	561.64
NOTCH2	718.161980366443	-1.33875823454802	-12.9108186445464	3.91120599074672e-38	3.42221528776376e-37	1193	1301	333	340	1003.19	1055.85	414.95	398.66
NOTCH2NL	38.2875369035374	-0.606929334902879	-1.53733195362242	0.12421204039973	0.184345902511014	61	51	25	25	51.29	41.39	31.15	29.31
NOTCH3	747.691595343483	0.0385740407687222	0.399156146089935	0.68977815400959	0.772457320473945	892	894	593	662	750.08	725.54	738.94	776.21
NOTCH4	107.460677513905	3.80200825744818	11.8431985140075	2.33379485823919e-32	1.78215358464175e-31	16	18	154	179	13.45	14.61	191.9	209.88
NOTUM	381.106673464519	-5.60279363326586	-7.79894642592768	6.24261578360159e-15	2.75004718470749e-14	904	911	4	17	760.17	739.34	4.98	19.93
NOV	60.7520600323479	1.68980599780637	5.23945766562439	1.61049184840619e-07	4.74369401368573e-07	34	35	74	80	28.59	28.4	92.21	93.8
NOVA1	257.075930448626	4.95355195886357	18.2701693994447	1.43006120333117e-74	2.34707715356044e-73	24	14	400	425	20.18	11.36	498.44	498.32
NOVA2	208.47315879182	6.0567143940879	14.8329859164565	8.96546208125606e-50	9.90941427714426e-49	7	7	324	357	5.89	5.68	403.74	418.59
NOX1	2.57539869405242	1.87360374328805	1.39244462672123	0.163787798647761	0.235475134598875	1	1	6	1	0.84	0.81	7.48	1.17
NOX4	4.40891610492451	-0.835629473530185	-0.795837374299018	0.426126565344845	0.535423708698702	9	5	2	3	7.57	4.06	2.49	3.52
NOX5	18.7183823066748	-2.63418741238855	-3.93835167500229	8.20432863289689e-05	0.000192124509731583	37	42	4	4	31.11	34.09	4.98	4.69
NOXA1	114.127893002088	1.34945971004184	5.63979283381767	1.70254877482042e-08	5.35569419458144e-08	86	69	126	146	72.32	56	157.01	171.19
NOXO1	28.8327878755748	1.64585247206371	3.374416619438	0.000739723215277618	0.00156937486069717	23	10	31	42	19.34	8.12	38.63	49.25
NPAS1	70.9175372340908	-0.104744495244707	-0.365142255568956	0.715005219913654	0.796083115076808	86	92	57	56	72.32	74.66	71.03	65.66
NPAS2	243.95813401131	0.379702841478945	2.30318532584056	0.0212684180985227	0.0367555055028709	227	287	220	237	190.88	232.92	274.14	277.89
NPAS3	100.349215116398	3.52762592114113	11.0576867681922	2.01220166583676e-28	1.38280708408767e-27	15	23	138	169	12.61	18.67	171.96	198.16
NPAS4	17.6167689593948	2.93802016681881	4.32616542591418	1.517274926271e-05	3.79458370332988e-05	7	2	27	25	5.89	1.62	33.64	29.31
NPAT	89.2870604222454	-0.771347205424088	-2.94652603198318	0.00321365367751687	0.00630922904878996	135	138	52	57	113.52	112	64.8	66.83
NPB	31.3627543646217	0.768156824737597	1.76051556762689	0.0783204303325593	0.121617242921302	24	32	26	40	20.18	25.97	32.4	46.9
NPBWR1	3.99622260055923	-1.51006142953086	-1.31809563248664	0.187471636379849	0.265738451639398	5	10	2	1	4.2	8.12	2.49	1.17
NPBWR2	3.12486367990774	2.22040307646015	1.73849132465601	0.0821242774044234	0.126933290386523	1	1	4	5	0.84	0.81	4.98	5.86
NPC1	480.929900605872	0.274603267752667	2.37121272094646	0.0177298236438861	0.0311036341744906	516	538	418	454	433.9	436.62	520.87	532.32
NPC1L1	41.7860399045866	-3.0684590090684	-6.12558736832238	9.03496767822623e-10	3.09328933000755e-09	78	104	10	4	65.59	84.4	12.46	4.69
NPC2	302.988382904215	-1.23402643538883	-8.11455399153476	4.87572221021456e-16	2.24893278086085e-15	484	547	142	157	406.99	443.93	176.95	184.09
NPDC1	1193.80220879293	1.70543815847852	20.0248748563346	3.34351196479916e-89	6.52310611224715e-88	672	684	1406	1623	565.08	555.11	1752.02	1902.99
NPEPL1	432.389591268902	-0.126287412027737	-0.974943155986679	0.329588457501365	0.432697399402418	516	578	302	384	433.9	469.09	376.32	450.25
NPEPPS	441.304224366301	0.0876767752745299	0.709236445930165	0.478177760088415	0.586945689643275	480	557	362	391	403.63	452.04	451.09	458.45
NPFF	17.58057026503	0.5742699894558	1.02775111576256	0.304066916469804	0.404432466822002	15	19	17	18	12.61	15.42	21.18	21.11
NPFFR1	18.8090899233508	4.94808051448124	4.83709811305252	1.31748405668282e-06	3.62260504860083e-06	1	1	28	33	0.84	0.81	34.89	38.69
NPFFR2	4.18402817966809	-0.733474619061437	-0.693255835817487	0.488149013390855	0.597104400535068	6	7	2	3	5.05	5.68	2.49	3.52
NPHP1	12.8065513178757	0.923628358289653	1.41945480784122	0.155766463344362	0.225803205741232	11	10	14	14	9.25	8.12	17.45	16.42
