Feature.ID	UHR_1	UHR_2	brain_1	brain_2
CHGA	4.2	4.06	2466.04	2595.95
CHGB	24.39	30.03	3752.01	3700.46
CHI3L1	63.91	63.3	804.98	832.49
CHI3L2	79.89	69.79	36.14	46.9
CHIC1	21.02	26.78	134.58	130.15
CHIC2	42.89	34.09	36.14	35.18
CHID1	482.67	460.97	350.15	328.3
CHIT1	0.84	0.81	7.48	8.21
CHKA	336.36	340.05	287.85	313.06
CHKB	10.93	11.36	19.94	15.24
CHKB-CPT1B	60.54	61.68	73.52	77.39
CHL1	10.93	4.06	690.34	668.33
CHM	63.91	71.42	137.07	121.94
CHML	175.75	187.47	42.37	52.76
CHMP1A	825.76	830.23	631.77	722.27
CHMP1B	352.34	366.83	285.36	356.44
CHMP2A	383.45	368.45	424.92	463.14
CHMP2B	93.34	88.46	100.93	106.7
CHMP4A	135.38	172.05	157.01	146.56
CHMP4B	697.94	706.88	1128.97	1112.72
CHMP4C	26.91	27.59	3.74	2.35
CHMP5	116.88	120.11	168.22	157.12
CHMP6	152.2	151.76	142.06	145.39
CHMP7	292.63	274.31	316.51	279.06
CHN1	67.27	48.69	2312.77	2425.94
CHN2	45.41	49.51	938.31	981.4
CHODL	3.36	3.25	6.23	5.86
CHORDC1	53.82	51.94	43.61	46.9
CHP	363.27	399.29	421.18	435
CHP2	4.2	3.25	3.74	2.35
CHPF	1848.29	1684.01	913.39	938.01
CHPF2	454.08	399.29	206.85	221.61
CHPT1	198.45	176.11	184.42	178.22
CHRAC1	192.57	171.24	57.32	46.9
CHRD	75.68	73.85	1085.36	1115.06
CHRDL1	27.75	34.9	117.13	139.53
CHRDL2	4.2	2.43	2.49	2.35
CHRFAM7A	0.84	0.81	3.74	2.35
CHRM1	5.05	1.62	571.96	609.71
CHRM2	0.84	0.81	7.48	7.04
CHRM3	18.5	23.54	46.11	66.83
CHRM4	6.73	8.12	46.11	46.9
CHRM5	0.84	0.81	14.95	12.9
CHRNA1	1.68	2.43	4.98	5.86
CHRNA10	6.73	6.49	4.98	11.73
CHRNA2	0.84	1.62	97.2	106.7
CHRNA3	9.25	7.3	53.58	62.14
CHRNA4	7.57	10.55	372.58	403.35
CHRNA5	35.32	42.2	8.72	3.52
CHRNA6	2.52	3.25	6.23	10.55
CHRNA7	3.36	2.43	6.23	5.86
CHRNA9	26.91	22.72	1.25	1.17
CHRNB1	58.86	60.06	33.64	39.87
CHRNB2	11.77	9.74	614.33	615.57
CHRNB3	0.84	0.81	9.97	9.38
CHRNB4	3.36	1.62	4.98	2.35
CHRND	1.68	0.81	2.49	2.35
CHRNE	4.2	4.06	12.46	12.9
CHRNG	3.36	2.43	1.25	2.35
CHST1	21.02	21.91	1021.8	1016.57
CHST10	162.29	173.68	325.23	348.24
CHST11	327.95	335.18	200.62	172.36
CHST12	262.36	243.47	159.5	192.29
CHST13	125.29	107.13	3.74	2.35
CHST14	256.47	268.63	51.09	45.73
CHST15	231.25	241.85	208.1	215.74
CHST2	229.56	252.4	726.48	762.14
CHST3	231.25	239.41	375.08	355.27
CHST4	7.57	7.3	1.25	1.17
CHST5	5.05	5.68	44.86	64.49
CHST6	72.32	90.08	271.65	282.58
CHST7	79.04	73.85	89.72	110.22
CHST8	31.95	28.4	185.67	191.12
CHST9	4.2	2.43	8.72	3.52
CHSY1	296	329.5	149.53	145.39
CHSY3	10.09	8.12	27.41	26.97
CHTF18	703.83	692.27	165.73	166.5
CHTF8	455.77	461.78	188.16	249.75
CHUK	86.61	115.24	69.78	58.63
CHURC1	136.23	133.1	133.33	147.74
CIAO1	539.01	499.93	437.38	416.24
CIAPIN1	235.45	234.54	169.47	168.84
CIB1	425.49	439.87	155.76	181.74
CIB2	51.29	63.3	105.92	94.97
CIB3	2.52	1.62	1.25	1.17
CIC	829.12	831.05	2225.54	2318.06
CIDEA	0.84	0.81	38.63	45.73
CIDEB	166.5	187.47	139.56	177.05
CIDEC	13.45	13.8	2.49	3.52
CIDECP	37	31.65	87.23	71.52
CIITA	7.57	3.25	17.45	15.24
