Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
4992_at	6.95384	7.78171	7.03344	6.95684	7.32803	7.12893	7.01534	7.56364	7.24416
4993_at	6.13834	6.55557	5.93307	6.25188	6.16602	5.95463	5.88014	6.40888	6.08349
4994_at	4.5361	4.7886	4.65177	4.56047	4.48861	4.70853	4.77079	4.46226	4.46714
4995_at	4.38313	4.61859	4.48551	4.36772	4.35739	4.26116	4.48573	4.45157	4.15997
4998_at	4.11851	4.31506	4.14191	4.47433	4.61204	4.34226	4.37221	4.37912	4.3251
4999_at	5.33198	5.31746	5.52557	5.1923	5.57202	5.34514	5.76453	5.09281	5.25799
5000_at	6.15849	6.08944	6.60977	6.1018	5.921	6.21773	6.38442	6.1296	6.0293
5001_at	5.74838	5.69806	5.61686	5.90044	5.62419	5.82582	6.08188	5.71563	5.627
5002_at	8.26158	8.03657	8.5773	8.41712	7.18862	8.23339	8.39859	8.41712	9.04366
5003_at	6.87222	7.74293	7.05433	7.35996	7.10819	6.89151	6.77177	7.05558	7.42983
5004_at	4.2496	4.29594	4.21276	4.0584	6.11263	4.18476	4.20776	4.23747	4.13319
5005_at	4.01754	4.08278	3.85159	3.8574	4.84204	3.87274	3.93076	4.15907	4.07451
5007_at	7.5013	7.44351	8.07908	8.02662	7.66714	7.5074	8.05689	7.65722	7.79071
5008_at	3.87951	4.04854	4.32899	3.92599	4.00707	3.81452	3.97729	3.74257	3.99126
5009_at	4.46931	5.07282	4.36371	4.39659	4.6293	4.40009	4.34031	4.48588	4.68351
5010_at	5.56628	5.75756	5.78834	5.99123	5.83599	5.75043	5.94334	5.70156	5.76422
5016_at	7.27049	7.70571	7.57141	7.6834	7.46213	7.26424	7.94766	7.47348	7.40079
5017_at	6.56117	6.97782	6.47762	6.75568	6.47987	6.59923	6.63672	6.78394	6.43937
5018_at	8.57438	8.48824	8.61169	8.50171	8.57646	8.91783	9.29729	8.57057	8.58547
5019_at	6.71933	7.10517	8.1738	6.92516	7.69092	7.44461	7.69023	7.38782	7.49799
501_at	4.95787	4.61602	4.88787	4.78766	4.94174	4.70297	5.13857	4.72587	4.6041
5020_at	5.39234	5.21789	5.37669	5.63821	5.33513	5.34779	5.36281	5.35851	5.37927
5021_at	5.97194	6.25866	6.43498	5.98432	6.20619	6.09714	7.56719	6.74343	5.50403
5023_at	6.13898	7.06571	6.48226	6.88267	6.64246	6.4067	6.21033	6.53628	6.49299
5024_at	4.46558	5.16761	4.80421	4.44594	4.64351	4.47604	4.41319	4.5146	4.66324
5025_at	7.4486	6.05808	7.29842	7.76813	6.90851	6.69252	7.61568	7.27728	8.43496
5026_at	5.78355	6.19519	6.66777	6.83163	6.8692	6.06863	6.19037	6.27948	6.16727
5027_at	4.89432	4.91107	5.01321	5.52391	6.29549	4.64861	4.77838	4.79908	5.19831
5028_at	3.86572	3.8544	3.90309	3.81226	3.85826	3.81333	3.73602	3.75606	3.81709
5029_at	6.10371	5.66131	5.54328	6.36131	5.91457	6.21938	6.14611	5.70576	5.74793
5030_at	5.19926	5.56973	5.51059	5.56303	5.33234	5.43571	5.1952	5.52694	5.36496
5031_at	5.48959	5.76144	5.85668	6.0293	5.98039	5.73491	5.43309	5.74522	5.52472
5033_at	8.20287	8.68391	8.26659	8.78206	8.82716	8.70564	8.2589	8.28292	8.5182
5034_at	10.76639	8.47194	11.69669	10.92369	11.25099	10.21237	11.25099	10.84396	11.09652
5036_at	5.91445	4.41508	5.98432	5.50288	5.97844	6.25916	6.57118	5.99166	6.13064
5037_at	9.9047	10.47948	10.30669	9.78003	10.19422	9.68317	10.25613	9.924	9.96698
5042_at	9.02777	10.28849	9.1459	9.50853	9.81349	9.03224	9.51027	9.25807	8.99604
5045_at	7.34696	7.97963	8.09228	7.82532	8.24582	7.57241	7.21946	8.27074	7.97761
5046_at	5.73424	5.91433	5.94008	5.63411	5.76974	5.70974	5.87364	6.5209	6.01633
5047_at	4.08621	4.00483	4.36614	4.21608	4.19685	4.08909	4.118	4.13747	4.2968
50485_at	6.87706	6.52486	6.7983	6.40523	6.7963	6.48122	6.67259	6.35931	6.03019
