Probes	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
2258_at	6.6524	6.5502	6.715	7.802	7.6709	6.9737	6.8955	6.9519	7.8986
2259_at	4.2343	4.4909	4.5047	4.459	4.7174	4.3363	4.2672	4.7763	4.2453
225_at	3.5071	3.6521	3.6725	3.6332	3.6848	3.4909	3.7042	3.6822	3.6841
2260_at	7.3287	7.7045	6.7268	7.3427	7.668	7.7564	7.9141	7.4307	7.5204
2261_at	6.8433	7.102	6.997	6.219	7.1511	6.6036	6.2976	7.8025	6.9075
2262_at	3.6701	4.3081	3.7592	3.7529	4.0017	3.693	3.6378	3.7402	3.8254
2263_at	6.2335	6.5351	5.8767	5.9883	6.0388	7.0655	6.8154	5.9885	7.3266
2264_at	4.9721	5.8901	5.2646	5.842	7.5031	5.0567	5.152	5.5546	4.9228
2266_at	4.3095	4.3496	4.1193	5.0626	4.0988	4.3432	3.917	7.0475	4.0808
2267_at	6.2526	6.768	6.371	6.6077	6.4525	6.5628	6.0142	6.5409	6.2614
2268_at	6.2674	6.6759	6.05	6.7398	7.6115	6.3681	5.9767	6.828	6.4249
226_at	12.1003	11.6374	12.7834	12.0459	11.8963	11.6489	12.0854	11.9101	11.6417
2271_at	6.6234	6.6656	6.824	6.6387	6.4686	6.5612	6.9751	6.5392	6.6119
2272_at	5.0501	5.462	5.9311	5.2183	4.9162	5.5402	4.9749	5.427	5.7085
2273_at	6.0927	5.8743	5.6991	5.9503	5.6308	6.7987	6.5717	6.0842	6.3734
2274_at	9.4594	7.853	7.6415	7.8842	6.1706	9.6658	7.4035	9.6086	9.3838
2275_at	6.6108	6.926	6.5163	6.6845	6.4376	6.6662	6.4015	6.7655	6.3807
22794_at	7.9096	8.1234	8.2297	9.125	7.8029	7.9988	8.5588	8.0077	7.9369
22795_at	8.2894	7.9704	6.2564	7.1468	6.6714	8.3492	6.7708	7.4043	7.9638
22796_at	8.1855	7.5002	8.224	7.6132	7.7772	7.9708	9.128	7.7952	8.3174
22797_at	4.7975	4.3176	4.5481	4.8679	5.903	4.5047	3.9468	4.5329	4.7946
22798_at	3.6284	3.8058	3.7073	3.6736	3.9694	3.7177	3.673	3.8522	3.66
22800_at	4.5714	4.3435	4.736	4.8994	4.2174	4.7756	5.2779	4.3572	5.0036
22802_at	3.6588	3.7633	3.7294	3.7656	3.8994	3.7351	3.6906	3.8375	3.7432
22806_at	4.1399	4.5276	4.1153	4.4234	4.2883	4.393	4.0213	4.3928	4.2936
22807_at	5.2984	6.3608	5.2434	5.4185	5.4256	5.3402	5.1472	5.6468	6.3026
22808_at	5.6202	5.9169	6.0208	5.9402	6.9035	5.7899	5.5457	5.9513	5.8546
22809_at	6.2234	6.4111	6.6899	6.6766	6.8208	6.2465	6.5254	6.3297	6.2276
2280_at	7.2265	6.8895	6.7543	6.855	7.0212	6.7882	6.8108	6.9747	6.8668
22818_at	9.2028	8.0576	9.3384	8.6561	8.1253	8.9402	9.3049	8.972	8.8033
2281_at	5.6779	5.4723	5.5229	5.6827	5.3295	5.6404	5.211	5.8107	5.7647
22820_at	7.4538	7.4081	8.3987	7.44	7.7951	6.9674	7.4561	6.3288	7.4162
22821_at	4.1328	4.4209	4.3798	4.5841	4.6209	4.3436	4.5079	4.2625	4.2967
22822_at	4.9073	5.2634	6.5049	5.0419	4.9894	5.193	5.5064	5.1935	5.0828
22823_at	5.7063	5.7578	5.4332	5.6587	6.0655	5.7648	6.0633	5.6997	5.8482
22824_at	3.8821	4.2361	4.2805	4.1257	4.3824	4.1757	4.2302	4.186	3.8989
22826_at	7.0599	7.0639	7.1467	6.9545	6.9177	7.0464	7.147	7.3324	6.9452
22827_at	9.2693	9.3097	9.3951	9.6064	9.0443	9.341	9.484	9.3194	9.1842
22828_at	8.0036	8.0195	7.819	7.5861	7.9342	7.8743	8.2072	7.6473	8.1133
22829_at	3.941	4.946	3.9562	3.9616	3.9849	3.9665	3.8298	4.0271	4.0551
22832_at	5.1291	4.9376	4.8892	4.9518	5.0717	5.0823	5.2344	4.992	4.9678
22834_at	6.1684	6.4735	6.8039	8.3109	5.9701	6.7979	6.305	8.118	6.1993
22835_at	6.85	6.9066	6.0821	5.9122	5.857	6.1496	6.2893	6.3586	6.3889
22836_at	7.1872	7.5942	7.9204	6.7516	6.202	6.1368	5.5493	6.7834	8.6059
22837_at	5.3582	5.3905	5.2451	5.4147	5.207	5.2583	5.213	5.2049	6.0789
