Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
9450_at	8.13768	8.1024	8.36722	8.23148	7.76525	7.93788	6.90508	7.89623	8.306
9451_at	7.15878	6.5437	7.99962	7.34748	6.45655	7.37078	7.33418	6.95972	7.5999
9452_at	6.97448	6.4424	6.14952	7.45857	7.65325	8.30728	7.59298	8.03122	6.2233
9453_at	7.27788	7.0743	7.27632	6.89558	7.11495	7.18058	7.89628	6.42473	7.4132
9454_at	6.69618	6.5439	5.95842	6.78388	6.81825	6.45398	6.37958	6.29213	6.2665
9455_at	6.71038	6.8025	7.78502	6.45578	6.83935	6.48938	8.32187	7.60172	6.2375
9456_at	5.07448	6.1586	4.79932	5.29818	6.12135	5.76018	5.09508	5.27212	4.8239
9457_at	4.05358	4.3373	4.01802	4.12188	4.01315	4.59148	3.90688	4.21382	4.281
9459_at	7.62558	6.6265	7.89832	7.36418	8.01285	7.88918	7.76438	7.34682	7.0179
945_at	6.08388	6.4413	6.79942	6.67908	6.78805	6.91978	6.35188	6.96872	6.4575
9462_at	4.46668	4.4945	4.52782	4.55807	4.60965	4.48588	4.41498	4.48613	4.5472
9463_at	6.21998	7.1018	6.99162	7.25688	7.23375	6.47558	6.81988	6.98073	6.6223
9464_at	5.24478	6.0402	4.92612	5.37738	5.93635	5.44838	5.16328	5.98852	5.3249
9465_at	6.01998	5.9217	5.96142	6.00918	6.14255	6.07538	5.81038	6.21812	6.3706
9466_at	5.40108	5.4822	5.27222	5.67228	6.32835	5.57128	5.45388	5.99892	5.5808
9467_at	8.29598	8.1111	8.03482	8.16408	9.22275	8.42478	7.99717	8.24982	7.6852
9468_at	4.24978	4.7526	4.44812	4.63508	4.68645	4.32598	4.22658	4.42412	4.255
9469_at	6.52498	6.9459	6.55222	6.70078	6.76365	6.62888	6.34278	6.99622	6.7839
946_at	6.08508	6.6523	6.11252	6.38798	6.39995	6.35248	6.18078	6.71732	6.1461
9470_at	7.76748	8.8764	7.47372	8.00838	7.79865	7.83578	8.05807	7.94102	7.5978
9472_at	4.45368	5.1139	4.73592	4.76128	4.81305	4.74428	4.58078	4.96412	4.833
9473_at	5.73938	5.9135	5.75832	6.78678	7.23095	5.91398	5.17598	6.13072	5.6813
9474_at	6.65398	6.3714	6.57472	6.71138	6.32205	6.87438	6.93508	6.67452	6.3186
9475_at	6.14638	6.5583	6.03492	6.41388	6.46315	5.89798	5.82788	6.11362	6.7201
9477_at	6.58318	6.8016	6.39442	6.55617	6.79385	6.38508	6.74558	6.57962	6.5913
9478_at	4.35048	4.6728	4.74692	4.81578	4.80615	4.58728	4.63288	4.80492	4.4787
9479_at	3.82598	4.4518	4.31382	3.88417	3.98655	3.94778	3.98937	4.29483	3.9898
947_at	6.50528	6.925	6.29502	6.64877	6.56085	7.57588	7.08538	7.22093	6.8682
9480_at	4.52488	5.1162	4.82072	4.77558	5.04785	4.59668	4.66208	4.67403	4.8135
9482_at	9.05998	7.8609	8.42122	7.47588	7.58795	7.73118	7.28838	7.62593	8.3625
9486_at	6.87438	6.7946	7.10622	6.68497	6.90475	6.97008	7.25448	7.22612	6.752
9487_at	6.29208	6.5512	5.96302	5.82678	6.26775	5.84678	6.12358	6.23672	6.4097
9488_at	6.73268	6.8103	7.07712	6.36388	6.29055	7.02148	6.95008	6.74913	7.2315
9489_at	7.81688	7.729	7.64102	8.05207	8.32395	7.84378	7.49468	8.59842	7.0897
948_at	7.00688	5.7526	9.34082	6.95857	5.38255	7.34598	7.60358	6.41242	5.9052
9491_at	7.64828	7.6032	7.37872	6.86787	6.93385	6.87898	7.09648	6.72752	7.0625
9493_at	3.68928	3.8145	3.52242	3.92698	4.30895	3.87828	3.74228	3.97473	4.0334
9495_at	4.27268	4.6815	4.38412	4.80378	4.60485	4.28988	4.21208	4.42602	4.8709
9496_at	4.66148	5.2176	4.91292	5.08738	5.25885	5.01248	4.82808	5.44702	4.8021
9497_at	4.44618	4.7336	4.32282	4.27368	4.28465	4.31728	4.90528	4.56292	4.5718
9499_at	3.66218	4.0725	3.73322	3.67678	3.92725	3.81078	3.60338	3.91303	3.9177
949_at	6.60768	6.6425	7.61072	6.52048	6.75355	6.46898	7.09638	6.65153	6.5737
94_at	6.07508	6.4448	6.09472	6.55548	6.65855	6.19538	6.15478	6.12532	6.0527
9500_at	10.06188	10.8357	11.01392	11.40808	10.95625	10.93088	9.88928	10.73162	10.9319
9501_at	5.93828	5.7763	6.62522	5.11008	5.11125	5.30488	5.55488	5.86003	6.2865
9506_at	5.01828	5.6158	5.01912	5.03848	4.95355	4.99658	4.85468	5.29852	5.0743
9508_at	3.97198	4.1552	3.83462	3.85748	4.63825	4.08528	3.94578	4.17762	3.9676
