Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
79888_at	8.11834	7.84442	7.26465	7.39401	8.53737	7.867	8.13855	7.8598	7.00812
7988_at	7.22628	7.64035	7.31946	7.5507	7.32122	7.27104	7.46541	7.50311	6.95482
79890_at	6.25734	6.40328	6.34774	6.78136	6.57118	6.24192	6.10904	6.23462	6.05154
79891_at	6.43163	6.31982	7.06522	6.90176	7.06151	6.69579	6.99687	6.96986	6.72591
79892_at	6.22316	6.39231	6.29559	5.90202	5.87831	5.97098	5.74732	5.76145	6.19069
79893_at	8.70807	9.97266	8.72031	8.70363	8.47931	8.54649	8.76378	8.84096	8.62787
79894_at	7.56798	8.41355	7.62036	7.73451	7.91871	7.78172	7.82736	7.52789	7.59902
79895_at	4.35197	4.16642	4.76887	4.24527	4.20304	4.42824	4.21744	4.57344	4.64066
79896_at	4.04397	4.0454	4.25282	3.9716	4.41874	4.13525	4.18176	3.95062	4.11709
79899_at	5.26886	4.81907	5.00785	4.78861	4.73646	5.27464	4.94268	4.95788	5.28899
79901_at	6.68612	5.28899	8.14174	6.71856	4.79849	7.81484	5.60501	5.47074	9.55139
79902_at	7.80726	8.06071	6.94193	8.56787	9.1168	7.57142	7.54624	8.39265	7.39363
79903_at	8.49481	9.54486	8.28986	8.60134	8.44436	8.54261	8.3165	8.66419	8.29404
79905_at	4.41775	4.31455	4.37482	4.20972	4.58244	4.20506	4.39832	4.42432	4.33634
79906_at	6.9502	7.11042	6.70438	7.06305	7.23485	6.55585	6.49009	6.55946	6.52263
79908_at	5.49292	5.88735	5.48327	5.58344	5.61921	5.47713	5.53525	5.62894	5.75128
79912_at	9.00669	8.41498	8.97798	6.74422	7.93569	8.17335	8.25634	8.23254	8.70513
79913_at	6.34091	6.4132	5.92916	6.16802	6.12832	5.92916	6.11377	6.17623	6.30131
79915_at	6.02398	5.89692	5.82794	6.19747	6.81886	5.98755	5.91497	6.03111	6.18753
79918_at	5.47589	5.16304	5.84062	5.38435	5.64115	5.21352	5.39111	5.25667	5.07306
79919_at	4.7467	4.84482	4.62931	6.6195	5.35852	4.7467	4.40375	4.51915	4.58883
7991_at	6.58563	5.65017	7.35521	5.32723	4.76631	6.4958	7.5234	6.66144	7.48049
79921_at	10.55764	10.24394	10.08232	8.05972	8.30016	9.40982	8.40639	9.45112	10.50336
79922_at	5.88123	6.08145	6.06898	6.10335	5.92459	5.60104	5.81767	6.09663	5.61539
79924_at	6.98121	7.51232	7.16128	7.70988	7.68603	7.12273	7.14953	7.67036	7.20774
79927_at	5.01926	4.98502	5.06948	5.37819	5.41623	5.47672	5.4313	5.38642	5.00951
79929_at	5.62372	6.6586	6.59723	6.1228	6.55914	6.27907	6.18299	6.72965	6.15549
79930_at	5.29962	5.1464	5.62246	5.99588	5.89474	5.40567	5.56717	5.31747	5.46039
79931_at	3.97808	4.20506	3.90689	4.53629	4.17692	3.91001	4.04397	3.97761	3.91961
79932_at	7.48715	7.85382	8.43497	8.18723	8.22325	7.92686	8.24583	8.09957	8.1204
79933_at	3.66648	3.61771	3.62888	3.4226	3.6423	3.63391	3.59117	3.56658	5.91927
79935_at	7.53088	8.85266	7.59991	8.19312	7.83707	7.50187	7.42593	8.02559	7.951
79939_at	6.68471	6.31932	7.09776	6.77358	6.4677	6.36028	6.4749	6.36804	6.93729
7993_at	6.64496	6.18946	7.30865	6.14733	6.01474	6.75951	7.40147	6.1962	6.96465
79940_at	4.55962	3.71471	4.05165	3.55372	3.58619	4.0531	4.45061	3.8326	4.5414
79943_at	5.33981	6.07623	5.47647	5.45932	5.24342	5.37954	5.46427	5.16095	5.18614
79944_at	4.89856	4.68938	4.68772	4.41017	5.20391	4.6741	5.08633	4.59464	4.69903
79946_at	4.88142	5.43358	4.84724	5.05704	5.16443	4.92491	4.78618	5.32426	5.30275
79947_at	7.45377	8.3986	7.95909	7.2694	7.48504	7.33384	7.60519	7.76274	7.53026
