Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
8976_at	4.95255	4.98183	4.86761	5.19692	4.84263	4.90405	4.9845	4.88646	4.93251
89781_at	5.42019	5.56601	5.94043	5.62511	5.43059	5.48029	5.76751	5.3503	5.44602
89795_at	6.38622	5.75864	5.92726	5.42511	5.94541	6.24177	5.61178	6.06126	6.41694
89797_at	6.80199	5.18226	6.79016	5.20106	6.75631	6.51612	8.27418	6.14314	8.03528
89845_at	6.96461	8.09247	7.05953	7.30157	7.31366	6.88965	6.95374	7.34884	6.4879
89853_at	6.22865	6.96112	6.40595	6.38583	6.53724	6.27353	6.44735	6.30679	6.12225
8985_at	7.9416	8.30504	7.78302	8.57062	8.06501	8.25741	8.02028	8.30504	7.96085
8986_at	7.83373	7.82378	7.83534	8.24264	8.34526	7.75845	7.81157	7.83691	8.05999
89870_at	5.56601	5.71111	5.6459	5.60402	5.56991	5.58379	5.65332	5.85127	5.68316
89874_at	3.53177	3.57613	3.49118	3.49813	3.64341	3.55623	3.65226	3.58403	3.56424
8988_at	5.22645	5.31611	5.30414	5.3165	5.15287	5.16793	5.31273	5.3779	5.40823
8989_at	5.39307	5.52521	5.07929	5.02681	5.24923	4.89442	5.04373	4.98398	5.12876
898_at	6.08162	6.72686	6.03017	6.82286	6.39994	5.82738	5.86979	5.91994	5.81217
89910_at	5.972	6.49978	6.17718	5.9089	5.69056	5.75924	5.79816	5.94969	6.01348
8991_at	9.43952	9.18399	9.72937	8.5477	9.53128	9.20573	9.43838	8.54648	9.89179
89927_at	7.49626	7.95672	5.73684	7.46286	5.86115	6.97666	6.36501	7.02185	6.93795
8992_at	10.84944	10.79197	10.37246	10.24892	9.94222	10.19112	10.19422	10.12039	10.198
8993_at	5.86772	5.9938	6.22953	5.90389	5.73696	5.72155	5.86436	5.93559	5.70156
89941_at	8.38357	8.67648	8.02797	8.42276	8.36369	8.27768	8.07596	8.39151	8.19421
89944_at	7.42399	7.90683	7.06772	7.23467	7.84142	7.11498	8.53522	7.57192	7.36467
8994_at	6.02818	6.59146	6.64363	6.16862	5.96722	6.18982	6.28708	6.56297	6.50013
8995_at	5.75277	6.23351	6.02386	5.85808	5.84897	5.80539	5.75102	5.93712	5.89972
8996_at	6.55518	6.98456	8.21742	7.26381	7.56083	6.74372	6.88028	6.6196	6.94525
